Ls TT EB_gmv TEB_gmv
169 9.475127e-16 1.595979e-16 1.262878e-16
170 9.260575e-16 1.560525e-16 1.235149e-16
171 9.052573e-16 1.526075e-16 1.208205e-16
172 8.850127e-16 1.492597e-16 1.182016e-16
173 8.652965e-16 1.460055e-16 1.156552e-16
174 8.461947e-16 1.428418e-16 1.131790e-16
175 8.275862e-16 1.397655e-16 1.107709e-16
176 8.095067e-16 1.367738e-16 1.084285e-16
177 7.919505e-16 1.338639e-16 1.061496e-16
178 7.748762e-16 1.310330e-16 1.039321e-16
179 7.581859e-16 1.282786e-16 1.017743e-16
180 7.420161e-16 1.255984e-16 9.967488e-17
181 7.262823e-16 1.229899e-16 9.763133e-17
182 7.109497e-16 1.204505e-16 9.564101e-17
183 6.959971e-16 1.179781e-16 9.370279e-17
184 6.814524e-16 1.155707e-16 9.181554e-17
185 6.673409e-16 1.132262e-16 8.997690e-17
186 6.535236e-16 1.109422e-16 8.818502e-17
187 6.401269e-16 1.087173e-16 8.643946e-17
188 6.270892e-16 1.065498e-16 8.473911e-17
189 6.143111e-16 1.044376e-16 8.308162e-17
190 6.019201e-16 1.023788e-16 8.146541e-17
191 5.898464e-16 1.003721e-16 7.988989e-17
192 5.780889e-16 9.841580e-17 7.835402e-17
193 5.665904e-16 9.650842e-17 7.685621e-17
194 5.554216e-16 9.464844e-17 7.539532e-17
195 5.445030e-16 9.283448e-17 7.397053e-17
196 5.339092e-16 9.106512e-17 7.258063e-17
197 5.234830e-16 8.933893e-17 7.122406e-17
198 5.133849e-16 8.765465e-17 6.989994e-17
199 5.035375e-16 8.601118e-17 6.860792e-17
200 4.938785e-16 8.440733e-17 6.734702e-17
201 4.844640e-16 8.284181e-17 6.611574e-17
202 4.752938e-16 8.131350e-17 6.491321e-17
203 4.663353e-16 7.982146e-17 6.373912e-17
204 4.575952e-16 7.836465e-17 6.259280e-17
205 4.490520e-16 7.694198e-17 6.147309e-17
206 4.407210e-16 7.555245e-17 6.037912e-17
207 4.325786e-16 7.419521e-17 5.931035e-17
208 4.246023e-16 7.286934e-17 5.826611e-17
209 4.168556e-16 7.157386e-17 5.724534e-17
210 4.092459e-16 7.030784e-17 5.624725e-17
211 4.018453e-16 6.907065e-17 5.527170e-17
212 3.946221e-16 6.786161e-17 5.431851e-17
213 3.875158e-16 6.667989e-17 5.338693e-17
214 3.806048e-16 6.552462e-17 5.247610e-17
215 3.738470e-16 6.439506e-17 5.158536e-17
216 3.672158e-16 6.329055e-17 5.071412e-17
217 3.607579e-16 6.221043e-17 4.986184e-17
218 3.544504e-16 6.115404e-17 4.902800e-17
219 3.482724e-16 6.012076e-17 4.821216e-17
220 3.422609e-16 5.910996e-17 4.741394e-17
221 3.363083e-16 5.812104e-17 4.663295e-17
222 3.305465e-16 5.715345e-17 4.586868e-17
223 3.249333e-16 5.620662e-17 4.512063e-17
224 3.193877e-16 5.528002e-17 4.438833e-17
225 3.139728e-16 5.437310e-17 4.367135e-17
