Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
73 2.576521e-14 3.238958e-14 5.242513e-14 2.436517e-14 5.079013e-15 9.127596e-15 4.202902e-15 3.260198e-15 2.749168e-15 2.668729e-15
74 2.441007e-14 3.074906e-14 4.967195e-14 2.311810e-14 4.811554e-15 8.656931e-15 3.982648e-15 3.089792e-15 2.606783e-15 2.530533e-15
75 2.314313e-14 2.921391e-14 4.709801e-14 2.195143e-14 4.561529e-15 8.216682e-15 3.776722e-15 2.930462e-15 2.473582e-15 2.401251e-15
76 2.195797e-14 2.777603e-14 4.468946e-14 2.085898e-14 4.327590e-15 7.804505e-15 3.584018e-15 2.781342e-15 2.348871e-15 2.280208e-15
77 2.084720e-14 2.642807e-14 4.243369e-14 1.983511e-14 4.108510e-15 7.418271e-15 3.403527e-15 2.641672e-15 2.231997e-15 2.166771e-15
78 1.980722e-14 2.516330e-14 4.031920e-14 1.887470e-14 3.903168e-15 7.056033e-15 3.234329e-15 2.510720e-15 2.122383e-15 2.060380e-15
79 1.883043e-14 2.397558e-14 3.833547e-14 1.797303e-14 3.710543e-15 6.716015e-15 3.075587e-15 2.387861e-15 2.019484e-15 1.960506e-15
80 1.791383e-14 2.285930e-14 3.647291e-14 1.712583e-14 3.529700e-15 6.396591e-15 2.926531e-15 2.272465e-15 1.922819e-15 1.866683e-15
81 1.705208e-14 2.180931e-14 3.472272e-14 1.632916e-14 3.359784e-15 6.096276e-15 2.786460e-15 2.164034e-15 1.831931e-15 1.778466e-15
82 1.624229e-14 2.082090e-14 3.307685e-14 1.557943e-14 3.200010e-15 5.813705e-15 2.654730e-15 2.062056e-15 1.746416e-15 1.695463e-15
83 1.547994e-14 1.988975e-14 3.152791e-14 1.487333e-14 3.049660e-15 5.547668e-15 2.530750e-15 1.966070e-15 1.665889e-15 1.617302e-15
84 1.476263e-14 1.901188e-14 3.006912e-14 1.420781e-14 2.908074e-15 5.297011e-15 2.413978e-15 1.875669e-15 1.590009e-15 1.543652e-15
85 1.408668e-14 1.818363e-14 2.869423e-14 1.358010e-14 2.774645e-15 5.060652e-15 2.303916e-15 1.790436e-15 1.518452e-15 1.474196e-15
86 1.344911e-14 1.740165e-14 2.739752e-14 1.298763e-14 2.648814e-15 4.837613e-15 2.200105e-15 1.710050e-15 1.450929e-15 1.408656e-15
87 1.284772e-14 1.666283e-14 2.617369e-14 1.242801e-14 2.530068e-15 4.626993e-15 2.102122e-15 1.634176e-15 1.387164e-15 1.346764e-15
88 1.227969e-14 1.596431e-14 2.501787e-14 1.189909e-14 2.417932e-15 4.427964e-15 2.009579e-15 1.562505e-15 1.326913e-15 1.288281e-15
89 1.174264e-14 1.530346e-14 2.392556e-14 1.139883e-14 2.311969e-15 4.239761e-15 1.922116e-15 1.494755e-15 1.269940e-15 1.232981e-15
90 1.123516e-14 1.467783e-14 2.289262e-14 1.092538e-14 2.211775e-15 4.061680e-15 1.839400e-15 1.430680e-15 1.216037e-15 1.180659e-15
91 1.075452e-14 1.408518e-14 2.191521e-14 1.047702e-14 2.116976e-15 3.893070e-15 1.761125e-15 1.370047e-15 1.165002e-15 1.131122e-15
92 1.029939e-14 1.352340e-14 2.098976e-14 1.005214e-14 2.027228e-15 3.733326e-15 1.687007e-15 1.312611e-15 1.116657e-15 1.084195e-15
93 9.868760e-15 1.299058e-14 2.011300e-14 9.649289e-15 1.942209e-15 3.581892e-15 1.616783e-15 1.258198e-15 1.070830e-15 1.039712e-15
94 9.460462e-15 1.248491e-14 1.928187e-14 9.267083e-15 1.861624e-15 3.438248e-15 1.550209e-15 1.206612e-15 1.027367e-15 9.975231e-16
95 9.072600e-15 1.200472e-14 1.849354e-14 8.904255e-15 1.785198e-15 3.301915e-15 1.487060e-15 1.157674e-15 9.861189e-16 9.574848e-16
96 8.704984e-15 1.154848e-14 1.774539e-14 8.559626e-15 1.712674e-15 3.172446e-15 1.427125e-15 1.111212e-15 9.469541e-16 9.194681e-16
97 8.355636e-15 1.111475e-14 1.703498e-14 8.232100e-15 1.643817e-15 3.049429e-15 1.370208e-15 1.067095e-15 9.097447e-16 8.833493e-16
98 8.024096e-15 1.070218e-14 1.636004e-14 7.920658e-15 1.578405e-15 2.932476e-15 1.316130e-15 1.025170e-15 8.743759e-16 8.490169e-16
