Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
71 1.379275e-14 1.329710e-14 1.736150e-13 1.056729e-14 1.688289e-14 4.106759e-15 6.499281e-15 3.303371e-15 2.301886e-15 2.218541e-15
72 1.305371e-14 1.262451e-14 1.642001e-13 1.002540e-14 1.596605e-14 3.894085e-15 6.158409e-15 3.130682e-15 2.183577e-15 2.104549e-15
73 1.236385e-14 1.199588e-14 1.554163e-13 9.519067e-15 1.511068e-14 3.695411e-15 5.840075e-15 2.969388e-15 2.072997e-15 1.998004e-15
74 1.171921e-14 1.140777e-14 1.472133e-13 9.045514e-15 1.431190e-14 3.509634e-15 5.542500e-15 2.818599e-15 1.969541e-15 1.898322e-15
75 1.111651e-14 1.085703e-14 1.395457e-13 8.602197e-15 1.356527e-14 3.335753e-15 5.264071e-15 2.677499e-15 1.872662e-15 1.804977e-15
76 1.055234e-14 1.034081e-14 1.323721e-13 8.186802e-15 1.286676e-14 3.172858e-15 5.003316e-15 2.545344e-15 1.781860e-15 1.717486e-15
77 1.002380e-14 9.856527e-15 1.256547e-13 7.797222e-15 1.221270e-14 3.020117e-15 4.758895e-15 2.421457e-15 1.696677e-15 1.635410e-15
78 9.528321e-15 9.401797e-15 1.193592e-13 7.431535e-15 1.159972e-14 2.876776e-15 4.529587e-15 2.305219e-15 1.616698e-15 1.558347e-15
79 9.063309e-15 8.974455e-15 1.134541e-13 7.087981e-15 1.102478e-14 2.742135e-15 4.314276e-15 2.196066e-15 1.541542e-15 1.485931e-15
80 8.626581e-15 8.572516e-15 1.079106e-13 6.764955e-15 1.048507e-14 2.615580e-15 4.111938e-15 2.093477e-15 1.470861e-15 1.417826e-15
81 8.216100e-15 8.194166e-15 1.027026e-13 6.460983e-15 9.978038e-15 2.496471e-15 3.921641e-15 1.996998e-15 1.404335e-15 1.353724e-15
82 7.831543e-15 7.837737e-15 9.780596e-14 6.174717e-15 9.501330e-15 2.384515e-15 3.742527e-15 1.906440e-15 1.341672e-15 1.293344e-15
83 7.475070e-15 7.501700e-15 9.319851e-14 5.904916e-15 9.052796e-15 2.279456e-15 3.573809e-15 1.821174e-15 1.282602e-15 1.236426e-15
84 7.135437e-15 7.184649e-15 8.885998e-14 5.650444e-15 8.630459e-15 2.180086e-15 3.414765e-15 1.740638e-15 1.226877e-15 1.182731e-15
85 6.814082e-15 6.885292e-15 8.477181e-14 5.410252e-15 8.232506e-15 2.086228e-15 3.264731e-15 1.664604e-15 1.174272e-15 1.132041e-15
86 6.510441e-15 6.602438e-15 8.091685e-14 5.183376e-15 7.857267e-15 1.997553e-15 3.123095e-15 1.592807e-15 1.124575e-15 1.084154e-15
87 6.223614e-15 6.334990e-15 7.727921e-14 4.968929e-15 7.503200e-15 1.913729e-15 2.989294e-15 1.524969e-15 1.077594e-15 1.038884e-15
88 5.952643e-15 6.081935e-15 7.384436e-14 4.766089e-15 7.168887e-15 1.834441e-15 2.862809e-15 1.460822e-15 1.033150e-15 9.960575e-16
89 5.696018e-15 5.842338e-15 7.059892e-14 4.574101e-15 6.853022e-15 1.759398e-15 2.743159e-15 1.400112e-15 9.910789e-16 9.555173e-16
90 5.453241e-15 5.615334e-15 6.753045e-14 4.392264e-15 6.554394e-15 1.688329e-15 2.629901e-15 1.342651e-15 9.512277e-16 9.171161e-16
91 5.223382e-15 5.400124e-15 6.462745e-14 4.219933e-15 6.271885e-15 1.620984e-15 2.522626e-15 1.288219e-15 9.134556e-16 8.807182e-16
92 5.005635e-15 5.195968e-15 6.187934e-14 4.056506e-15 6.004463e-15 1.557131e-15 2.420954e-15 1.236599e-15 8.776321e-16 8.461976e-16
93 4.799256e-15 5.002179e-15 5.927635e-14 3.901430e-15 5.751172e-15 1.496548e-15 2.324533e-15 1.187650e-15 8.436360e-16 8.134379e-16
94 4.603537e-15 4.818119e-15 5.680931e-14 3.754189e-15 5.511123e-15 1.439034e-15 2.233038e-15 1.141198e-15 8.113550e-16 7.823306e-16
95 4.417598e-15 4.643198e-15 5.446976e-14 3.614305e-15 5.283494e-15 1.384403e-15 2.146167e-15 1.097088e-15 7.806848e-16 7.527754e-16
96 4.241275e-15 4.476867e-15 5.224987e-14 3.481334e-15 5.067520e-15 1.332481e-15 2.063637e-15 1.055167e-15 7.515285e-16 7.246789e-16
97 4.073592e-15 4.318614e-15 5.014244e-14 3.354863e-15 4.862494e-15 1.283106e-15 1.985188e-15 1.015322e-15 7.237960e-16 6.979541e-16
98 3.914369e-15 4.167964e-15 4.814057e-14 3.234508e-15 4.667755e-15 1.236128e-15 1.910578e-15 9.774157e-16 6.974033e-16 6.725203e-16
99 3.762822e-15 4.024475e-15 4.623803e-14 3.119911e-15 4.482688e-15 1.191406e-15 1.839580e-15 9.413464e-16 6.722722e-16 6.483022e-16
100 3.618634e-15 3.887734e-15 4.442897e-14 3.010739e-15 4.306725e-15 1.148810e-15 1.771983e-15 9.069957e-16 6.483299e-16 6.252295e-16
101 3.481483e-15 3.757356e-15 4.270792e-14 2.906682e-15 4.139331e-15 1.108218e-15 1.707592e-15 8.742747e-16 6.255085e-16 6.032368e-16
102 3.350793e-15 3.632981e-15 4.106972e-14 2.807448e-15 3.980010e-15 1.069515e-15 1.646223e-15 8.430819e-16 6.037446e-16 5.822630e-16
103 3.226238e-15 3.514276e-15 3.950972e-14 2.712767e-15 3.828301e-15 1.032595e-15 1.587705e-15 8.133334e-16 5.829787e-16 5.622509e-16
104 3.107580e-15 3.400924e-15 3.802342e-14 2.622386e-15 3.683769e-15 9.973595e-16 1.531879e-15 7.849543e-16 5.631557e-16 5.431473e-16
105 2.994349e-15 3.292635e-15 3.660664e-14 2.536069e-15 3.546010e-15 9.637147e-16 1.478594e-15 7.578622e-16 5.442236e-16 5.249022e-16
106 2.886310e-15 3.189132e-15 3.525559e-14 2.453593e-15 3.414649e-15 9.315753e-16 1.427712e-15 7.319860e-16 5.261340e-16 5.074689e-16
107 2.783172e-15 3.090159e-15 3.396658e-14 2.374751e-15 3.289330e-15 9.008551e-16 1.379101e-15 7.072654e-16 5.088415e-16 4.908035e-16
