Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
82 5.515368e-15 4.992397e-15 6.684386e-15 1.691178e-15 5.651998e-16 1.021734e-15 4.236229e-16 3.638950e-16
83 5.268399e-15 4.776547e-15 6.369217e-15 1.614131e-15 5.385011e-16 9.759826e-16 4.037899e-16 3.470236e-16
84 5.030297e-15 4.572925e-15 6.072441e-15 1.541519e-15 5.133614e-16 9.325995e-16 3.851109e-16 3.310985e-16
85 4.804170e-15 4.380695e-15 5.792830e-15 1.473036e-15 4.896738e-16 8.916042e-16 3.675056e-16 3.160769e-16
86 4.590179e-15 4.199091e-15 5.529199e-15 1.408402e-15 4.673388e-16 8.528705e-16 3.509016e-16 3.019027e-16
87 4.387930e-15 4.027405e-15 5.280419e-15 1.347357e-15 4.462634e-16 8.162612e-16 3.352303e-16 2.885197e-16
88 4.196870e-15 3.864984e-15 5.045512e-15 1.289664e-15 4.263637e-16 7.816390e-16 3.204296e-16 2.758758e-16
89 4.015600e-15 3.711224e-15 4.823581e-15 1.235102e-15 4.075625e-16 7.488808e-16 3.064419e-16 2.639232e-16
90 3.844104e-15 3.565568e-15 4.613766e-15 1.183468e-15 3.897875e-16 7.178620e-16 2.932141e-16 2.526163e-16
91 3.681700e-15 3.427502e-15 4.415252e-15 1.134573e-15 3.729716e-16 6.884877e-16 2.806974e-16 2.419156e-16
92 3.527830e-15 3.296547e-15 4.227340e-15 1.088243e-15 3.570537e-16 6.606787e-16 2.688456e-16 2.317852e-16
93 3.381985e-15 3.172260e-15 4.049378e-15 1.044318e-15 3.419775e-16 6.342878e-16 2.576169e-16 2.221831e-16
94 3.243665e-15 3.054233e-15 3.880717e-15 1.002647e-15 3.276895e-16 6.092334e-16 2.469726e-16 2.130773e-16
95 3.112092e-15 2.942082e-15 3.720759e-15 9.630897e-16 3.141405e-16 5.854415e-16 2.368764e-16 2.044381e-16
96 2.987474e-15 2.835455e-15 3.568985e-15 9.255441e-16 3.012852e-16 5.628444e-16 2.272954e-16 1.962376e-16
97 2.868825e-15 2.734022e-15 3.424926e-15 8.898500e-16 2.890821e-16 5.413592e-16 2.181972e-16 1.884485e-16
98 2.756275e-15 2.637477e-15 3.288062e-15 8.559091e-16 2.774908e-16 5.209234e-16 2.095526e-16 1.810461e-16
99 2.649054e-15 2.545535e-15 3.157989e-15 8.236195e-16 2.664752e-16 5.014758e-16 2.013349e-16 1.740076e-16
100 2.547039e-15 2.457930e-15 3.034322e-15 7.928834e-16 2.560017e-16 4.829601e-16 1.935193e-16 1.673120e-16
101 2.450080e-15 2.374413e-15 2.916674e-15 7.636123e-16 2.460384e-16 4.653223e-16 1.860821e-16 1.609392e-16
102 2.357637e-15 2.294754e-15 2.804671e-15 7.357215e-16 2.365552e-16 4.485122e-16 1.790014e-16 1.548705e-16
103 2.269516e-15 2.218737e-15 2.698038e-15 7.091341e-16 2.275256e-16 4.324840e-16 1.722569e-16 1.490887e-16
104 2.185627e-15 2.146159e-15 2.596437e-15 6.837757e-16 2.189231e-16 4.171934e-16 1.658297e-16 1.435778e-16
105 2.105537e-15 2.076833e-15 2.499575e-15 6.595785e-16 2.107234e-16 4.025994e-16 1.597017e-16 1.383222e-16
106 2.029128e-15 2.010579e-15 2.407220e-15 6.364785e-16 2.029049e-16 3.886654e-16 1.538564e-16 1.333081e-16
107 1.956188e-15 1.947235e-15 2.319105e-15 6.144159e-16 1.954460e-16 3.753514e-16 1.482784e-16 1.285220e-16
108 1.886518e-15 1.886643e-15 2.234976e-15 5.933344e-16 1.883267e-16 3.626336e-16 1.429530e-16 1.239524e-16
109 1.821927e-15 1.828660e-15 2.154664e-15 5.731811e-16 1.815293e-16 3.504564e-16 1.378664e-16 1.195848e-16
110 1.760285e-15 1.773148e-15 2.077925e-15 5.539077e-16 1.750360e-16 3.388740e-16 1.330059e-16 1.154180e-16
111 1.700582e-15 1.719979e-15 2.004591e-15 5.354674e-16 1.688310e-16 3.279275e-16 1.283596e-16 1.114498e-16
112 1.643071e-15 1.669033e-15 1.934482e-15 5.178162e-16 1.628989e-16 3.173329e-16 1.239163e-16 1.076409e-16
113 1.587916e-15 1.620197e-15 1.867405e-15 5.009146e-16 1.572251e-16 3.071721e-16 1.196652e-16 1.039942e-16
114 1.534990e-15 1.573365e-15 1.803221e-15 4.847228e-16 1.517964e-16 2.974248e-16 1.155962e-16 1.005017e-16
115 1.484238e-15 1.528436e-15 1.741794e-15 4.692062e-16 1.466006e-16 2.880712e-16 1.117003e-16 9.715577e-17
116 1.435408e-15 1.485316e-15 1.682952e-15 4.543295e-16 1.416252e-16 2.790977e-16 1.079688e-16 9.394976e-17
117 1.388785e-15 1.443917e-15 1.626585e-15 4.400617e-16 1.368594e-16 2.704845e-16 1.043931e-16 9.087633e-17
118 1.343871e-15 1.404155e-15 1.572570e-15 4.263725e-16 1.322926e-16 2.622157e-16 1.009655e-16 8.792915e-17
119 1.300793e-15 1.365951e-15 1.520774e-15 4.132332e-16 1.279148e-16 2.542753e-16 9.767871e-17 8.510211e-17
120 1.259453e-15 1.329231e-15 1.471108e-15 4.006176e-16 1.237170e-16 2.466452e-16 9.452583e-17 8.238913e-17
121 1.219745e-15 1.293924e-15 1.423451e-15 3.884998e-16 1.196900e-16 2.393200e-16 9.150036e-17 7.978573e-17
122 1.181611e-15 1.259964e-15 1.377717e-15 3.768565e-16 1.158258e-16 2.322832e-16 8.859609e-17 7.728636e-17
123 1.144978e-15 1.227288e-15 1.333811e-15 3.656653e-16 1.121165e-16 2.255142e-16 8.580715e-17 7.488524e-17
124 1.109789e-15 1.195837e-15 1.291638e-15 3.549044e-16 1.085545e-16 2.190003e-16 8.312813e-17 7.257774e-17
125 1.075820e-15 1.165556e-15 1.251127e-15 3.445541e-16 1.051332e-16 2.127321e-16 8.055385e-17 7.035974e-17
126 1.043281e-15 1.136390e-15 1.212195e-15 3.345954e-16 1.018456e-16 2.066983e-16 7.807946e-17 6.822713e-17
127 1.011981e-15 1.108290e-15 1.174762e-15 3.250103e-16 9.868571e-17 2.008886e-16 7.570028e-17 6.617595e-17
128 9.817552e-16 1.081209e-15 1.138781e-15 3.157819e-16 9.564772e-17 1.952930e-16 7.341187e-17 6.420245e-17
129 9.527622e-16 1.055100e-15 1.104149e-15 3.068938e-16 9.272557e-17 1.899021e-16 7.121007e-17 6.230310e-17
130 9.248269e-16 1.029923e-15 1.070840e-15 2.983310e-16 8.991448e-17 1.847065e-16 6.909102e-17 6.047458e-17
131 8.978772e-16 1.005635e-15 1.038777e-15 2.900790e-16 8.720922e-17 1.796979e-16 6.705099e-17 5.871375e-17
132 8.719489e-16 9.821988e-16 1.007897e-15 2.821241e-16 8.460487e-17 1.748683e-16 6.508646e-17 5.701761e-17
133 8.469573e-16 9.595779e-16 9.781746e-16 2.744533e-16 8.209742e-17 1.702098e-16 6.319405e-17 5.538329e-17
134 8.228758e-16 9.377376e-16 9.495233e-16 2.670541e-16 7.968196e-17 1.657134e-16 6.137067e-17 5.380797e-17
135 7.997047e-16 9.166449e-16 9.219319e-16 2.599150e-16 7.735509e-17 1.613781e-16 5.961319e-17 5.228961e-17
136 7.786313e-16 8.962685e-16 8.953252e-16 2.530248e-16 7.511242e-17 1.571903e-16 5.791874e-17 5.082504e-17
137 7.576400e-16 8.765788e-16 8.696776e-16 2.463730e-16 7.295063e-17 1.531365e-16 5.628476e-17 4.941132e-17
138 7.372937e-16 8.575474e-16 8.449392e-16 2.399494e-16 7.086607e-17 1.492862e-16 5.470860e-17 4.805401e-17
139 7.174851e-16 8.391477e-16 8.210767e-16 2.337446e-16 6.885556e-17 1.455959e-16 5.318775e-17 4.674703e-17
140 6.982983e-16 8.213539e-16 7.980520e-16 2.277495e-16 6.691593e-17 1.419761e-16 5.171992e-17 4.547971e-17
141 6.796590e-16 8.041415e-16 7.758259e-16 2.219552e-16 6.504413e-17 1.384682e-16 5.030287e-17 4.425502e-17
142 6.616772e-16 7.874876e-16 7.543781e-16 2.163552e-16 6.323757e-17 1.350792e-16 4.893463e-17 4.307236e-17
143 6.442901e-16 7.713698e-16 7.336542e-16 2.109441e-16 6.149314e-17 1.317960e-16 4.761322e-17 4.192916e-17
144 6.273943e-16 7.557671e-16 7.136527e-16 2.057082e-16 5.980878e-17 1.286163e-16 4.633655e-17 4.082409e-17
145 6.111463e-16 7.406596e-16 6.943124e-16 2.006413e-16 5.818148e-17 1.255372e-16 4.510275e-17 3.975567e-17
146 5.953360e-16 7.260279e-16 6.756371e-16 1.957376e-16 5.660946e-17 1.225549e-16 4.391013e-17 3.872242e-17
