Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
74 1.734877e-14 1.946448e-14 3.405876e-15 6.057634e-15 2.855714e-16 3.667588e-15 2.727150e-16 2.649378e-16
75 1.644827e-14 1.848813e-14 3.229179e-15 5.745957e-15 2.707009e-16 3.479434e-15 2.585215e-16 2.511564e-16
76 1.560617e-14 1.757376e-14 3.063839e-15 5.454256e-15 2.567877e-16 3.303314e-15 2.452417e-16 2.382619e-16
77 1.481624e-14 1.671667e-14 2.908989e-15 5.181000e-15 2.437589e-16 3.138313e-15 2.328057e-16 2.261865e-16
78 1.407758e-14 1.591258e-14 2.763839e-15 4.924806e-15 2.315477e-16 2.983595e-15 2.211499e-16 2.148686e-16
79 1.338287e-14 1.515757e-14 2.627667e-15 4.684411e-15 2.200933e-16 2.838403e-15 2.102164e-16 2.042518e-16
80 1.273137e-14 1.444805e-14 2.499814e-15 4.458650e-15 2.093401e-16 2.702034e-15 1.999520e-16 1.942845e-16
81 1.211845e-14 1.378075e-14 2.379677e-15 4.246464e-15 1.992371e-16 2.573850e-15 1.903081e-16 1.849196e-16
82 1.154293e-14 1.315267e-14 2.266703e-15 4.046883e-15 1.897377e-16 2.453271e-15 1.812402e-16 1.761138e-16
83 1.100087e-14 1.256105e-14 2.160383e-15 3.859018e-15 1.807990e-16 2.339785e-15 1.727075e-16 1.678278e-16
84 1.049132e-14 1.200335e-14 2.060253e-15 3.682050e-15 1.723819e-16 2.232900e-15 1.646725e-16 1.600250e-16
85 1.001122e-14 1.147724e-14 1.965883e-15 3.515225e-15 1.644501e-16 2.132140e-15 1.571006e-16 1.526720e-16
86 9.558304e-15 1.098059e-14 1.876881e-15 3.357849e-15 1.569705e-16 2.037083e-15 1.499602e-16 1.457379e-16
87 9.131329e-15 1.051141e-14 1.792882e-15 3.209281e-15 1.499123e-16 1.947345e-15 1.432221e-16 1.391943e-16
88 8.727957e-15 1.006788e-14 1.713553e-15 3.068944e-15 1.432475e-16 1.862565e-15 1.368594e-16 1.330151e-16
89 8.346387e-15 9.648328e-15 1.638585e-15 2.936287e-15 1.369499e-16 1.782417e-15 1.308472e-16 1.271763e-16
90 7.986094e-15 9.251191e-15 1.567692e-15 2.810809e-15 1.309956e-16 1.706600e-15 1.251625e-16 1.216554e-16
91 7.644517e-15 8.875033e-15 1.500611e-15 2.692049e-15 1.253623e-16 1.634832e-15 1.197842e-16 1.164320e-16
92 7.320992e-15 8.518524e-15 1.437098e-15 2.579578e-15 1.200293e-16 1.566856e-15 1.146926e-16 1.114869e-16
93 7.015312e-15 8.180432e-15 1.376927e-15 2.472996e-15 1.149778e-16 1.502435e-15 1.098696e-16 1.068026e-16
94 6.725394e-15 7.859614e-15 1.319889e-15 2.371939e-15 1.101900e-16 1.441344e-15 1.052983e-16 1.023627e-16
95 6.449529e-15 7.555009e-15 1.265790e-15 2.276062e-15 1.056496e-16 1.383379e-15 1.009631e-16 9.815194e-17
96 6.188402e-15 7.265632e-15 1.214449e-15 2.185050e-15 1.013413e-16 1.328346e-15 9.684951e-17 9.415636e-17
97 5.940033e-15 6.990569e-15 1.165699e-15 2.098609e-15 9.725112e-17 1.276069e-15 9.294402e-17 9.036285e-17
98 5.704581e-15 6.728966e-15 1.119384e-15 2.016462e-15 9.336583e-17 1.226383e-15 8.923413e-17 8.675923e-17
99 5.480123e-15 6.480032e-15 1.075359e-15 1.938358e-15 8.967325e-17 1.179135e-15 8.570818e-17 8.333421e-17
100 5.266707e-15 6.243027e-15 1.033490e-15 1.864055e-15 8.616201e-17 1.134179e-15 8.235531e-17 8.007725e-17
101 5.064231e-15 6.017264e-15 9.936506e-16 1.793335e-15 8.282152e-17 1.091386e-15 7.916543e-17 7.697853e-17
102 4.870804e-15 5.802100e-15 9.557232e-16 1.725989e-15 7.964189e-17 1.050628e-15 7.612908e-17 7.402889e-17
103 4.686715e-15 5.596935e-15 9.195989e-16 1.661828e-15 7.661390e-17 1.011791e-15 7.323749e-17 7.121980e-17
104 4.511478e-15 5.401210e-15 8.851754e-16 1.600667e-15 7.372895e-17 9.747658e-16 7.048243e-17 6.854329e-17
105 4.344179e-15 5.214399e-15 8.523572e-16 1.542343e-15 7.097899e-17 9.394514e-16 6.785623e-17 6.599190e-17
106 4.184900e-15 5.036015e-15 8.210551e-16 1.486695e-15 6.835651e-17 9.057537e-16 6.535171e-17 6.355867e-17
107 4.032425e-15 4.865597e-15 7.911856e-16 1.433579e-15 6.585446e-17 8.735830e-16 6.296216e-17 6.123707e-17
108 3.887085e-15 4.702717e-15 7.626704e-16 1.382854e-15 6.346627e-17 8.428573e-16 6.068129e-17 5.902101e-17
109 3.748066e-15 4.546971e-15 7.354364e-16 1.334393e-15 6.118576e-17 8.134981e-16 5.850322e-17 5.690477e-17
110 3.615764e-15 4.397983e-15 7.094148e-16 1.288075e-15 5.900715e-17 7.854337e-16 5.642242e-17 5.488300e-17
111 3.489033e-15 4.255397e-15 6.845413e-16 1.243787e-15 5.692502e-17 7.586030e-16 5.443372e-17 5.295070e-17
112 3.368151e-15 4.118882e-15 6.607556e-16 1.201420e-15 5.493427e-17 7.329410e-16 5.253226e-17 5.110316e-17
113 3.252339e-15 3.988124e-15 6.380006e-16 1.160878e-15 5.303013e-17 7.083818e-16 5.071348e-17 4.933593e-17
114 3.141715e-15 3.862831e-15 6.162233e-16 1.122063e-15 5.120811e-17 6.848694e-16 4.897310e-17 4.764484e-17
115 3.035573e-15 3.742725e-15 5.953734e-16 1.084889e-15 4.946399e-17 6.623482e-16 4.730709e-17 4.602597e-17
116 2.933963e-15 3.627546e-15 5.754038e-16 1.049272e-15 4.779380e-17 6.407683e-16 4.571166e-17 4.447566e-17
117 2.836574e-15 3.517050e-15 5.562702e-16 1.015134e-15 4.619381e-17 6.200824e-16 4.418325e-17 4.299043e-17
118 2.743278e-15 3.411006e-15 5.379308e-16 9.824016e-16 4.466049e-17 6.002449e-16 4.271849e-17 4.156702e-17
119 2.653751e-15 3.309197e-15 5.203461e-16 9.510054e-16 4.319055e-17 5.812151e-16 4.131423e-17 4.020237e-17
120 2.568024e-15 3.211417e-15 5.034792e-16 9.208801e-16 4.178084e-17 5.629522e-16 3.996749e-17 3.889357e-17
121 2.485523e-15 3.117474e-15 4.872950e-16 8.919623e-16 4.042844e-17 5.454195e-16 3.867546e-17 3.763792e-17
122 2.406389e-15 3.027184e-15 4.717606e-16 8.641963e-16 3.913056e-17 5.285823e-16 3.743549e-17 3.643282e-17
123 2.330555e-15 2.940375e-15 4.568447e-16 8.375262e-16 3.788458e-17 5.124071e-16 3.624507e-17 3.527585e-17
124 2.257783e-15 2.856884e-15 4.425180e-16 8.118987e-16 3.668803e-17 4.968626e-16 3.510185e-17 3.416472e-17
125 2.187451e-15 2.776558e-15 4.287526e-16 7.872668e-16 3.553856e-17 4.819196e-16 3.400358e-17 3.309726e-17
126 2.120100e-15 2.699249e-15 4.155223e-16 7.635825e-16 3.443398e-17 4.675492e-16 3.294817e-17 3.207142e-17
127 2.055446e-15 2.624821e-15 4.028022e-16 7.408029e-16 3.337218e-17 4.537250e-16 3.193362e-17 3.108526e-17
128 1.992915e-15 2.553143e-15 3.905689e-16 7.188872e-16 3.235120e-17 4.404227e-16 3.095803e-17 3.013696e-17
129 1.933078e-15 2.484092e-15 3.788000e-16 6.977939e-16 3.136915e-17 4.276179e-16 3.001963e-17 2.922477e-17
130 1.875508e-15 2.417549e-15 3.674745e-16 6.774869e-16 3.042427e-17 4.152881e-16 2.911671e-17 2.834705e-17
131 1.819771e-15 2.353405e-15 3.565725e-16 6.579319e-16 2.951488e-17 4.034126e-16 2.824769e-17 2.750225e-17
132 1.766335e-15 2.291554e-15 3.460749e-16 6.390944e-16 2.863939e-17 3.919712e-16 2.741103e-17 2.668889e-17
