Ls TT EB_gmv TEB_gmv EB_iter EB_iter_ext TEB_iter TEB_iter_ext
91 7.647390e-15 1.191116e-16 1.157839e-16 2.335677e-17 1.872820e-17 2.264655e-17 1.835218e-17
92 7.322772e-15 1.140489e-16 1.108666e-16 2.237416e-17 1.794075e-17 2.169393e-17 1.758061e-17
93 7.015744e-15 1.092533e-16 1.062082e-16 2.144299e-17 1.719452e-17 2.079118e-17 1.684941e-17
94 6.724287e-15 1.047079e-16 1.017927e-16 2.056005e-17 1.648693e-17 1.993520e-17 1.615610e-17
95 6.452598e-15 1.003973e-16 9.760522e-17 1.972238e-17 1.581561e-17 1.912311e-17 1.549831e-17
96 6.190563e-15 9.630706e-17 9.363215e-17 1.892720e-17 1.517833e-17 1.835222e-17 1.487389e-17
97 5.941871e-15 9.242370e-17 8.985961e-17 1.817196e-17 1.457305e-17 1.762005e-17 1.428082e-17
98 5.706016e-15 8.873484e-17 8.627589e-17 1.745425e-17 1.399784e-17 1.692428e-17 1.371723e-17
99 5.480763e-15 8.522886e-17 8.286981e-17 1.677187e-17 1.345094e-17 1.626274e-17 1.318136e-17
100 5.267801e-15 8.189499e-17 7.963084e-17 1.612274e-17 1.293067e-17 1.563345e-17 1.267160e-17
101 5.067378e-15 7.872316e-17 7.654972e-17 1.550492e-17 1.243550e-17 1.503452e-17 1.218643e-17
102 4.873337e-15 7.570401e-17 7.361653e-17 1.491662e-17 1.196398e-17 1.446421e-17 1.172443e-17
103 4.689298e-15 7.282878e-17 7.082319e-17 1.435616e-17 1.151476e-17 1.392088e-17 1.128429e-17
104 4.514611e-15 7.008931e-17 6.816168e-17 1.382197e-17 1.108659e-17 1.340303e-17 1.086478e-17
105 4.346328e-15 6.747796e-17 6.562454e-17 1.331257e-17 1.067829e-17 1.290921e-17 1.046473e-17
106 4.187495e-15 6.498761e-17 6.320516e-17 1.282661e-17 1.028876e-17 1.243810e-17 1.008308e-17
107 4.036235e-15 6.261157e-17 6.089679e-17 1.236278e-17 9.916980e-18 1.198846e-17 9.718806e-18
