Ls TT EB_gmv TEB_gmv EB_iter EB_iter_ext TEB_iter TEB_iter_ext
75 7.854786e-15 6.156572e-16 5.256832e-16 1.344952e-16 1.094978e-16 1.220212e-16 1.014144e-16
76 7.454809e-15 5.841879e-16 4.989527e-16 1.276424e-16 1.039136e-16 1.158383e-16 9.626695e-17
77 7.080049e-15 5.547144e-16 4.739115e-16 1.212223e-16 9.868202e-17 1.100443e-16 9.144356e-17
78 6.728994e-15 5.270871e-16 4.504363e-16 1.152022e-16 9.377664e-17 1.046102e-16 8.692001e-17
79 6.399381e-15 5.011669e-16 4.284083e-16 1.095527e-16 8.917332e-17 9.950935e-17 8.267417e-17
80 6.089793e-15 4.768294e-16 4.077216e-16 1.042467e-16 8.484998e-17 9.471753e-17 7.868579e-17
81 5.798837e-15 4.539611e-16 3.882807e-16 9.925930e-17 8.078641e-17 9.021247e-17 7.493631e-17
82 5.525424e-15 4.324532e-16 3.699946e-16 9.456785e-17 7.696406e-17 8.597377e-17 7.140873e-17
83 5.267871e-15 4.122134e-16 3.527825e-16 9.015148e-17 7.336594e-17 8.198271e-17 6.808745e-17
84 5.025258e-15 3.931501e-16 3.365695e-16 8.599102e-17 6.997641e-17 7.822209e-17 6.495811e-17
85 4.796568e-15 3.751838e-16 3.212862e-16 8.206886e-17 6.678112e-17 7.467608e-17 6.200754e-17
86 4.580982e-15 3.582377e-16 3.068690e-16 7.836875e-17 6.376683e-17 7.133010e-17 5.922358e-17
87 4.377365e-15 3.422433e-16 2.932589e-16 7.487577e-17 6.092135e-17 6.817074e-17 5.659505e-17
88 4.185029e-15 3.271379e-16 2.804034e-16 7.157613e-17 5.823346e-17 6.518560e-17 5.411162e-17
89 4.003242e-15 3.128618e-16 2.682512e-16 6.845710e-17 5.569277e-17 6.236324e-17 5.176376e-17
90 3.831428e-15 2.993619e-16 2.567579e-16 6.550691e-17 5.328970e-17 5.969311e-17 4.954266e-17
91 3.670690e-15 2.865871e-16 2.458800e-16 6.271471e-17 5.101538e-17 5.716541e-17 4.744018e-17
92 3.523677e-15 2.744904e-16 2.355780e-16 6.007042e-17 4.886161e-17 5.477111e-17 4.544877e-17
93 3.381536e-15 2.630306e-16 2.258166e-16 5.756472e-17 4.682079e-17 5.250182e-17 4.356144e-17
94 3.244405e-15 2.521665e-16 2.165608e-16 5.518896e-17 4.488586e-17 5.034975e-17 4.177173e-17
95 3.115320e-15 2.418608e-16 2.077793e-16 5.293513e-17 4.305030e-17 4.830770e-17 4.007360e-17
96 2.991650e-15 2.320819e-16 1.994452e-16 5.079577e-17 4.130802e-17 4.636895e-17 3.846149e-17
97 2.873663e-15 2.227939e-16 1.915280e-16 4.876397e-17 3.965339e-17 4.452729e-17 3.693020e-17
98 2.761793e-15 2.139706e-16 1.840058e-16 4.683327e-17 3.808115e-17 4.277691e-17 3.547489e-17
99 2.654266e-15 2.055828e-16 1.768522e-16 4.499770e-17 3.658642e-17 4.111241e-17 3.409109e-17
100 2.552834e-15 1.976056e-16 1.700679e-16 4.325166e-17 3.516466e-17 3.952878e-17 3.277459e-17
101 2.456447e-15 1.900139e-16 1.636174e-16 4.158995e-17 3.381161e-17 3.802133e-17 3.152149e-17
102 2.363694e-15 1.827864e-16 1.574577e-16 4.000773e-17 3.252332e-17 3.658567e-17 3.032816e-17
103 2.275841e-15 1.759024e-16 1.515932e-16 3.850046e-17 3.129610e-17 3.521774e-17 2.919119e-17
104 2.192358e-15 1.693414e-16 1.459988e-16 3.706390e-17 3.012651e-17 3.391372e-17 2.810741e-17
105 2.111852e-15 1.630861e-16 1.406609e-16 3.569411e-17 2.901130e-17 3.267005e-17 2.707385e-17
106 2.035803e-15 1.571196e-16 1.355686e-16 3.438738e-17 2.794749e-17 3.148338e-17 2.608773e-17
107 1.962509e-15 1.514258e-16 1.307080e-16 3.314026e-17 2.693223e-17 3.035061e-17 2.514646e-17
108 1.893098e-15 1.459898e-16 1.260635e-16 3.194950e-17 2.596289e-17 2.926881e-17 2.424759e-17
109 1.826266e-15 1.407977e-16 1.216253e-16 3.081206e-17 2.503699e-17 2.823523e-17 2.338886e-17
110 1.762764e-15 1.358364e-16 1.173869e-16 2.972509e-17 2.415221e-17 2.724732e-17 2.256812e-17
111 1.701756e-15 1.310932e-16 1.133333e-16 2.868593e-17 2.330637e-17 2.630265e-17 2.178336e-17
112 1.643531e-15 1.265577e-16 1.094559e-16 2.769206e-17 2.249744e-17 2.539898e-17 2.103270e-17
113 1.587775e-15 1.222176e-16 1.057418e-16 2.674114e-17 2.172348e-17 2.453417e-17 2.031437e-17
114 1.534254e-15 1.180641e-16 1.021890e-16 2.583093e-17 2.098270e-17 2.370622e-17 1.962670e-17
115 1.483305e-15 1.140871e-16 9.878496e-17 2.495938e-17 2.027340e-17 2.291326e-17 1.896814e-17
116 1.434190e-15 1.102778e-16 9.552388e-17 2.412451e-17 1.959398e-17 2.215351e-17 1.833721e-17
117 1.387107e-15 1.066276e-16 9.239915e-17 2.332448e-17 1.894294e-17 2.142532e-17 1.773253e-17
118 1.342264e-15 1.031283e-16 8.940124e-17 2.255756e-17 1.831887e-17 2.072712e-17 1.715279e-17
119 1.298960e-15 9.977296e-17 8.652793e-17 2.182211e-17 1.772043e-17 2.005743e-17 1.659676e-17
120 1.257415e-15 9.655437e-17 8.376931e-17 2.111658e-17 1.714637e-17 1.941486e-17 1.606328e-17
121 1.217778e-15 9.346556e-17 8.112230e-17 2.043954e-17 1.659550e-17 1.879809e-17 1.555126e-17
122 1.179489e-15 9.050059e-17 7.858073e-17 1.978959e-17 1.606670e-17 1.820589e-17 1.505967e-17
123 1.142735e-15 8.765350e-17 7.613880e-17 1.916545e-17 1.555892e-17 1.763708e-17 1.458752e-17
124 1.107500e-15 8.491824e-17 7.379352e-17 1.856590e-17 1.507116e-17 1.709055e-17 1.413392e-17
125 1.073615e-15 8.229005e-17 7.153825e-17 1.798977e-17 1.460248e-17 1.656527e-17 1.369797e-17
126 1.040986e-15 7.976366e-17 6.937047e-17 1.743597e-17 1.415198e-17 1.606024e-17 1.327886e-17
127 1.009593e-15 7.733448e-17 6.728566e-17 1.690347e-17 1.371883e-17 1.557453e-17 1.287581e-17
128 9.795265e-16 7.499817e-17 6.527933e-17 1.639129e-17 1.330223e-17 1.510726e-17 1.248809e-17
129 9.504632e-16 7.275021e-17 6.334928e-17 1.589851e-17 1.290141e-17 1.465758e-17 1.211500e-17
130 9.224950e-16 7.058669e-17 6.149077e-17 1.542424e-17 1.251568e-17 1.422470e-17 1.175587e-17
131 8.955664e-16 6.850374e-17 5.970055e-17 1.496765e-17 1.214434e-17 1.380787e-17 1.141008e-17
132 8.696622e-16 6.649784e-17 5.797646e-17 1.452796e-17 1.178676e-17 1.340638e-17 1.107704e-17
133 8.447123e-16 6.456579e-17 5.631592e-17 1.410441e-17 1.144233e-17 1.301956e-17 1.075619e-17
134 8.206507e-16 6.270394e-17 5.471492e-17 1.369631e-17 1.111047e-17 1.264675e-17 1.044699e-17
135 7.974822e-16 6.090944e-17 5.317109e-17 1.330297e-17 1.079064e-17 1.228735e-17 1.014894e-17
136 7.772082e-16 5.917951e-17 5.168262e-17 1.292377e-17 1.048230e-17 1.194079e-17 9.861549e-18
137 7.568569e-16 5.751100e-17 5.024707e-17 1.255808e-17 1.018498e-17 1.160651e-17 9.584367e-18
138 7.369396e-16 5.590156e-17 4.886167e-17 1.220533e-17 9.898188e-18 1.128399e-17 9.316958e-18
139 7.176116e-16 5.434864e-17 4.752443e-17 1.186499e-17 9.621492e-18 1.097273e-17 9.058910e-18
140 6.983501e-16 5.284970e-17 4.623372e-17 1.153652e-17 9.354463e-18 1.067227e-17 8.809830e-18
141 6.803242e-16 5.140280e-17 4.498723e-17 1.121943e-17 9.096699e-18 1.038216e-17 8.569345e-18
142 6.623751e-16 5.000558e-17 4.378298e-17 1.091325e-17 8.847815e-18 1.010196e-17 8.337100e-18
143 6.449628e-16 4.865591e-17 4.261953e-17 1.061752e-17 8.607445e-18 9.831277e-18 8.112756e-18
144 6.281217e-16 4.735218e-17 4.149570e-17 1.033183e-17 8.375241e-18 9.569716e-18 7.895992e-18
145 6.118652e-16 4.609220e-17 4.040884e-17 1.005577e-17 8.150871e-18 9.316909e-18 7.686501e-18
146 5.964088e-16 4.487411e-17 3.935800e-17 9.788942e-18 7.934020e-18 9.072507e-18 7.483990e-18
147 5.808890e-16 4.369662e-17 3.834456e-17 9.530982e-18 7.724387e-18 8.836173e-18 7.288180e-18
148 5.664117e-16 4.255789e-17 3.736688e-17 9.281538e-18 7.521684e-18 8.607588e-18 7.098807e-18
149 5.521005e-16 4.145629e-17 3.642162e-17 9.040272e-18 7.325637e-18 8.386447e-18 6.915616e-18
150 5.383116e-16 4.039066e-17 3.550522e-17 8.806864e-18 7.135985e-18 8.172459e-18 6.738365e-18
151 5.248162e-16 3.935942e-17 3.461740e-17 8.581007e-18 6.952479e-18 7.965346e-18 6.566824e-18
152 5.119573e-16 3.836114e-17 3.375755e-17 8.362410e-18 6.774881e-18 7.764844e-18 6.400772e-18
153 4.992471e-16 3.739469e-17 3.292339e-17 8.150793e-18 6.602962e-18 7.570700e-18 6.239999e-18
154 4.870071e-16 3.645882e-17 3.211468e-17 7.945889e-18 6.436507e-18 7.382670e-18 6.084303e-18
155 4.753015e-16 3.555232e-17 3.133143e-17 7.747444e-18 6.275307e-18 7.200525e-18 5.933493e-18
156 4.637071e-16 3.467414e-17 3.057230e-17 7.555214e-18 6.119164e-18 7.024042e-18 5.787384e-18
157 4.527598e-16 3.382324e-17 2.983630e-17 7.368965e-18 5.967888e-18 6.853011e-18 5.645801e-18
158 4.418696e-16 3.299858e-17 2.912272e-17 7.188476e-18 5.821299e-18 6.687230e-18 5.508575e-18
159 4.313366e-16 3.219917e-17 2.843089e-17 7.013533e-18 5.679221e-18 6.526504e-18 5.375547e-18
160 4.213403e-16 3.142408e-17 2.775968e-17 6.843932e-18 5.541490e-18 6.370649e-18 5.246561e-18
161 4.114061e-16 3.067243e-17 2.710771e-17 6.679478e-18 5.407947e-18 6.219488e-18 5.121471e-18
162 4.017711e-16 2.994337e-17 2.647511e-17 6.519983e-18 5.278438e-18 6.072850e-18 5.000136e-18
163 3.926199e-16 2.923609e-17 2.586198e-17 6.365269e-18 5.152818e-18 5.930574e-18 4.882420e-18
164 3.835461e-16 2.854980e-17 2.526709e-17 6.215165e-18 5.030948e-18 5.792503e-18 4.768194e-18
165 3.747571e-16 2.788374e-17 2.468917e-17 6.069506e-18 4.912694e-18 5.658488e-18 4.657333e-18
166 3.661955e-16 2.723721e-17 2.412729e-17 5.928133e-18 4.797928e-18 5.528386e-18 4.549720e-18
167 3.580589e-16 2.660952e-17 2.358172e-17 5.790897e-18 4.686525e-18 5.402060e-18 4.445239e-18
168 3.499913e-16 2.600000e-17 2.305250e-17 5.657653e-18 4.578369e-18 5.279378e-18 4.343782e-18
169 3.421513e-16 2.540802e-17 2.253797e-17 5.528260e-18 4.473347e-18 5.160213e-18 4.245243e-18
170 3.346373e-16 2.483298e-17 2.203744e-17 5.402587e-18 4.371349e-18 5.044445e-18 4.149522e-18
171 3.272704e-16 2.427430e-17 2.155140e-17 5.280505e-18 4.272272e-18 4.931958e-18 4.056522e-18
172 3.200793e-16 2.373142e-17 2.107937e-17 5.161891e-18 4.176016e-18 4.822638e-18 3.966150e-18
173 3.130806e-16 2.320377e-17 2.062037e-17 5.046627e-18 4.082484e-18 4.716380e-18 3.878318e-18
174 3.063430e-16 2.269087e-17 2.017370e-17 4.934601e-18 3.991584e-18 4.613081e-18 3.792939e-18
175 2.997855e-16 2.219222e-17 1.973898e-17 4.825702e-18 3.903228e-18 4.512640e-18 3.709931e-18
176 2.933471e-16 2.170736e-17 1.931638e-17 4.719827e-18 3.817331e-18 4.414964e-18 3.629216e-18
177 2.870915e-16 2.123581e-17 1.890553e-17 4.616875e-18 3.733810e-18 4.319961e-18 3.550717e-18
178 2.809996e-16 2.077712e-17 1.850541e-17 4.516749e-18 3.652587e-18 4.227542e-18 3.474362e-18
179 2.753013e-16 2.033088e-17 1.811580e-17 4.419356e-18 3.573587e-18 4.137623e-18 3.400079e-18
180 2.702392e-16 1.989671e-17 1.773696e-17 4.324608e-18 3.496737e-18 4.050124e-18 3.327802e-18
181 2.650756e-16 1.947419e-17 1.736825e-17 4.232418e-18 3.421966e-18 3.964965e-18 3.257466e-18
182 2.598998e-16 1.906293e-17 1.700890e-17 4.142703e-18 3.349208e-18 3.882071e-18 3.189008e-18
183 2.548635e-16 1.866257e-17 1.665893e-17 4.055384e-18 3.278397e-18 3.801371e-18 3.122367e-18
184 2.500101e-16 1.827280e-17 1.631836e-17 3.970384e-18 3.209471e-18 3.722793e-18 3.057487e-18
185 2.451565e-16 1.789326e-17 1.598661e-17 3.887629e-18 3.142371e-18 3.646272e-18 2.994310e-18
186 2.402439e-16 1.752364e-17 1.566315e-17 3.807049e-18 3.077038e-18 3.571742e-18 2.932784e-18
187 2.355888e-16 1.716362e-17 1.534787e-17 3.728574e-18 3.013417e-18 3.499141e-18 2.872857e-18
