Ls T E B
338 2.255563e-17 4.247836e-19 3.950528e-19
339 2.215521e-17 4.233767e-19 3.936687e-19
340 2.176189e-17 4.219786e-19 3.922936e-19
341 2.137556e-17 4.205894e-19 3.909275e-19
342 2.099609e-17 4.192090e-19 3.895701e-19
343 2.062335e-17 4.178373e-19 3.882215e-19
344 2.025723e-17 4.164742e-19 3.868816e-19
345 1.989760e-17 4.151196e-19 3.855503e-19
346 1.954437e-17 4.137735e-19 3.842274e-19
347 1.919740e-17 4.124358e-19 3.829131e-19
348 1.885659e-17 4.111063e-19 3.816070e-19
349 1.852184e-17 4.097851e-19 3.803093e-19
350 1.819302e-17 4.084721e-19 3.790198e-19
351 1.787005e-17 4.071671e-19 3.777384e-19
352 1.755281e-17 4.058702e-19 3.764651e-19
353 1.724119e-17 4.045812e-19 3.751998e-19
354 1.693512e-17 4.033000e-19 3.739424e-19
355 1.663447e-17 4.020267e-19 3.726928e-19
356 1.633916e-17 4.007611e-19 3.714511e-19
357 1.604910e-17 3.995031e-19 3.702170e-19
358 1.576418e-17 3.982528e-19 3.689906e-19
359 1.564015e-17 3.970099e-19 3.677718e-19
360 1.567325e-17 3.957746e-19 3.665605e-19
361 1.570642e-17 3.945466e-19 3.653566e-19
362 1.573966e-17 3.933260e-19 3.641602e-19
363 1.577297e-17 3.921126e-19 3.629710e-19
364 1.580635e-17 3.909065e-19 3.617891e-19
365 1.583981e-17 3.897075e-19 3.606144e-19
366 1.587333e-17 3.885155e-19 3.594468e-19
367 1.590692e-17 3.873307e-19 3.582864e-19
368 1.594059e-17 3.861527e-19 3.571329e-19
369 1.597432e-17 3.849817e-19 3.559864e-19
370 1.600813e-17 3.838175e-19 3.548467e-19
371 1.604201e-17 3.826601e-19 3.537139e-19
372 1.607596e-17 3.815095e-19 3.525879e-19
373 1.610998e-17 3.803655e-19 3.514686e-19
374 1.614408e-17 3.792281e-19 3.503560e-19
375 1.617825e-17 3.780973e-19 3.492500e-19
376 1.621248e-17 3.769730e-19 3.481505e-19
377 1.624680e-17 3.758552e-19 3.470575e-19
378 1.628118e-17 3.747437e-19 3.459710e-19
379 1.631564e-17 3.736386e-19 3.448909e-19
380 1.635017e-17 3.725398e-19 3.438171e-19
381 1.638477e-17 3.714473e-19 3.427496e-19
382 1.641945e-17 3.703609e-19 3.416883e-19
