    8.30 1.4315E-01 1.3631E-01 1.4353E-01 1.4213E-01 1.3286E-01 1.2809E-01 1.3337E-01 1.2249E-01 1.3718E-01 1.3638E-01 1.1708E-01 1.2398E-01 1.2416E-01 1.2433E-01 1.3312E-01 1.2436E-01 1.1765E-01
    8.69 1.3637E-01 1.3668E-01 1.3715E-01 1.3601E-01 1.3342E-01 1.2875E-01 1.2806E-01 1.2320E-01 9.9243E-02 9.9387E-02 1.1784E-01 1.1939E-01 1.1960E-01 1.1978E-01 9.6703E-02 1.1982E-01 1.1845E-01
    9.10 6.1699E-02 6.2102E-02 6.3165E-02 6.3163E-02 6.2253E-02 6.0726E-02 6.0669E-02 5.8670E-02 6.2496E-02 6.0152E-02 5.6643E-02 5.7469E-02 5.7649E-02 5.7815E-02 6.1470E-02 5.7845E-02 5.7226E-02
    9.53 4.9198E-02 5.0254E-02 5.1013E-02 5.1307E-02 5.1226E-02 5.0295E-02 4.9944E-02 4.8876E-02 4.9605E-02 4.8353E-02 4.7451E-02 4.7802E-02 4.7995E-02 4.8174E-02 4.9160E-02 4.8206E-02 4.8074E-02
    9.98 4.7942E-02 4.8999E-02 4.9997E-02 5.0430E-02 5.0372E-02 4.9599E-02 4.9439E-02 4.8373E-02 4.9043E-02 4.7979E-02 4.7132E-02 4.7584E-02 4.7790E-02 4.7982E-02 4.8770E-02 4.8016E-02 4.7796E-02
   10.45 5.4811E-02 5.4777E-02 5.7010E-02 5.7457E-02 5.6233E-02 5.5328E-02 5.6254E-02 5.3974E-02 5.5358E-02 5.4701E-02 5.2612E-02 5.4106E-02 5.4327E-02 5.4531E-02 5.4991E-02 5.4568E-02 5.3320E-02
   10.94 9.5123E-02 9.2621E-02 9.7276E-02 9.7291E-02 9.2642E-02 9.0280E-02 9.3627E-02 8.7308E-02 1.0573E-01 1.1493E-01 8.4418E-02 8.8904E-02 8.9157E-02 8.9390E-02 1.0374E-01 8.9432E-02 8.5173E-02
   11.45 2.3620E-01 1.7593E-01 2.3674E-01 2.3453E-01 1.7283E-01 1.6732E-01 2.2076E-01 1.6082E-01 1.2812E-01 1.7329E-01 1.5460E-01 2.0612E-01 2.0638E-01 2.0663E-01 1.2532E-01 2.0668E-01 1.5547E-01
   11.99 1.3556E-01 1.4335E-01 1.3731E-01 1.3677E-01 1.4175E-01 1.3760E-01 1.3054E-01 1.3268E-01 1.2368E-01 1.1564E-01 1.2798E-01 1.2330E-01 1.2355E-01 1.2379E-01 1.2122E-01 1.2383E-01 1.2880E-01
   12.56 1.3732E-01 1.7304E-01 1.3931E-01 1.3891E-01 1.7060E-01 1.6547E-01 1.3302E-01 1.5949E-01 1.3936E-01 1.1663E-01 1.5383E-01 1.2605E-01 1.2630E-01 1.2655E-01 1.3656E-01 1.2659E-01 1.5468E-01
   13.15 9.8908E-02 9.8979E-02 1.0142E-01 1.0170E-01 1.0002E-01 9.7891E-02 9.8774E-02 9.5335E-02 1.0927E-01 1.0519E-01 9.2910E-02 9.4698E-02 9.4954E-02 9.5191E-02 1.0776E-01 9.5233E-02 9.3742E-02
