Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
69 2.417140e-14 3.464747e-14 1.998853e-14 2.541193e-14 2.045808e-15 9.208939e-15 1.893380e-15 1.673230e-15
70 2.282887e-14 3.278485e-14 1.888819e-14 2.403238e-14 1.932440e-15 8.705604e-15 1.788618e-15 1.580739e-15
71 2.157775e-14 3.104870e-14 1.786318e-14 2.274684e-14 1.826855e-15 8.236631e-15 1.691043e-15 1.494590e-15
72 2.041308e-14 2.942877e-14 1.690736e-14 2.154767e-14 1.728419e-15 7.799224e-15 1.600071e-15 1.414268e-15
73 1.932457e-14 2.791578e-14 1.601518e-14 2.042796e-14 1.636558e-15 7.390862e-15 1.515172e-15 1.339305e-15
74 1.830809e-14 2.650131e-14 1.518162e-14 1.938145e-14 1.550751e-15 7.009246e-15 1.435864e-15 1.269276e-15
75 1.735771e-14 2.517769e-14 1.440208e-14 1.840243e-14 1.470524e-15 6.652295e-15 1.361710e-15 1.203796e-15
76 1.646888e-14 2.393795e-14 1.367241e-14 1.748570e-14 1.395446e-15 6.318108e-15 1.292313e-15 1.142514e-15
77 1.563534e-14 2.277575e-14 1.298882e-14 1.662655e-14 1.325126e-15 6.004961e-15 1.227310e-15 1.085111e-15
78 1.485560e-14 2.168529e-14 1.234783e-14 1.582066e-14 1.259204e-15 5.711272e-15 1.166370e-15 1.031294e-15
79 1.412257e-14 2.066127e-14 1.174630e-14 1.506409e-14 1.197355e-15 5.435604e-15 1.109192e-15 9.807974e-16
80 1.343500e-14 1.969884e-14 1.118132e-14 1.435324e-14 1.139280e-15 5.176637e-15 1.055500e-15 9.333774e-16
81 1.278828e-14 1.879358e-14 1.065026e-14 1.368480e-14 1.084704e-15 4.933168e-15 1.005041e-15 8.888116e-16
82 1.218088e-14 1.794142e-14 1.015069e-14 1.305576e-14 1.033377e-15 4.704088e-15 9.575837e-16 8.468953e-16
83 1.160887e-14 1.713863e-14 9.680379e-15 1.246334e-14 9.850703e-16 4.488446e-15 9.129157e-16 8.074433e-16
84 1.107103e-14 1.638178e-14 9.237292e-15 1.190499e-14 9.395711e-16 4.285305e-15 8.708421e-16 7.702833e-16
85 1.056425e-14 1.566772e-14 8.819551e-15 1.137837e-14 8.966859e-16 4.093765e-15 8.311835e-16 7.352557e-16
86 1.008618e-14 1.499356e-14 8.425428e-15 1.088131e-14 8.562362e-16 3.913032e-15 7.937750e-16 7.022149e-16
87 9.635425e-15 1.435661e-14 8.053327e-15 1.041185e-14 8.180572e-16 3.742371e-15 7.584647e-16 6.710264e-16
88 9.209617e-15 1.375441e-14 7.701781e-15 9.968136e-15 7.819974e-16 3.581106e-15 7.251125e-16 6.415663e-16
