Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
93 3.573209e-15 4.317630e-15 1.758723e-14 3.277093e-15 1.826699e-15 1.216182e-15 1.172905e-15 7.299488e-16
94 3.427130e-15 4.158605e-15 1.685717e-14 3.153133e-15 1.750392e-15 1.169220e-15 1.125559e-15 7.008380e-16
95 3.288230e-15 4.007476e-15 1.616467e-14 3.035370e-15 1.678027e-15 1.124613e-15 1.080631e-15 6.732041e-16
96 3.156627e-15 3.863770e-15 1.550759e-14 2.923430e-15 1.609368e-15 1.082219e-15 1.037962e-15 6.469537e-16
97 3.031373e-15 3.727043e-15 1.488407e-14 2.816965e-15 1.544196e-15 1.041905e-15 9.974280e-16 6.220081e-16
98 2.912522e-15 3.596887e-15 1.429150e-14 2.715652e-15 1.482286e-15 1.003550e-15 9.588929e-16 5.982867e-16
99 2.799332e-15 3.472918e-15 1.372832e-14 2.619189e-15 1.423450e-15 9.670381e-16 9.222404e-16 5.757181e-16
100 2.691639e-15 3.354780e-15 1.319295e-14 2.527295e-15 1.367513e-15 9.322628e-16 8.873629e-16 5.542360e-16
101 2.589260e-15 3.242139e-15 1.268363e-14 2.439709e-15 1.314300e-15 8.991252e-16 8.541560e-16 5.337773e-16
102 2.491666e-15 3.134685e-15 1.219859e-14 2.356185e-15 1.263647e-15 8.675316e-16 8.225222e-16 5.142826e-16
103 2.398641e-15 3.032130e-15 1.173694e-14 2.276496e-15 1.215421e-15 8.373955e-16 7.923720e-16 4.956974e-16
104 2.310066e-15 2.934202e-15 1.129703e-14 2.200429e-15 1.169476e-15 8.086355e-16 7.636259e-16 4.779723e-16
105 2.225515e-15 2.840646e-15 1.087749e-14 2.127783e-15 1.125677e-15 7.811756e-16 7.362010e-16 4.610577e-16
106 2.144849e-15 2.751226e-15 1.047756e-14 2.058373e-15 1.083918e-15 7.549467e-16 7.100246e-16 4.449096e-16
107 2.067845e-15 2.665721e-15 1.009595e-14 1.992022e-15 1.044080e-15 7.298753e-16 6.850314e-16 4.294851e-16
108 1.994296e-15 2.583921e-15 9.731425e-15 1.928569e-15 1.006050e-15 7.059164e-16 6.611561e-16 4.147506e-16
109 1.925802e-15 2.505631e-15 9.383565e-15 1.867858e-15 9.697444e-16 6.829674e-16 6.383369e-16 4.006535e-16
110 1.860418e-15 2.430668e-15 9.051063e-15 1.809747e-15 9.350599e-16 6.611279e-16 6.165178e-16 3.872125e-16
111 1.797212e-15 2.358861e-15 8.733321e-15 1.754099e-15 9.019165e-16 6.404737e-16 5.956478e-16 3.744392e-16
112 1.736389e-15 2.290048e-15 8.429586e-15 1.700788e-15 8.702322e-16 6.204822e-16 5.756780e-16 3.621411e-16
113 1.678075e-15 2.224076e-15 8.138834e-15 1.649695e-15 8.399241e-16 6.013033e-16 5.565599e-16 3.503559e-16
114 1.622136e-15 2.160803e-15 7.860604e-15 1.600707e-15 8.109255e-16 5.828981e-16 5.382470e-16 3.390573e-16
115 1.568504e-15 2.100095e-15 7.594391e-15 1.553720e-15 7.831740e-16 5.652299e-16 5.207036e-16 3.282235e-16
116 1.516934e-15 2.041825e-15 7.339235e-15 1.508632e-15 7.565955e-16 5.482731e-16 5.038900e-16 3.178346e-16
117 1.467667e-15 1.985873e-15 7.094808e-15 1.465352e-15 7.311376e-16 5.319907e-16 4.877671e-16 3.078667e-16
118 1.420237e-15 1.932129e-15 6.860576e-15 1.423790e-15 7.067436e-16 5.163532e-16 4.723012e-16 2.983006e-16
119 1.374746e-15 1.880485e-15 6.635871e-15 1.383864e-15 6.833574e-16 5.013299e-16 4.574608e-16 2.891170e-16
120 1.331090e-15 1.830841e-15 6.420432e-15 1.345494e-15 6.609334e-16 4.868916e-16 4.432158e-16 2.802979e-16
121 1.289161e-15 1.783103e-15 6.213623e-15 1.308608e-15 6.394215e-16 4.730120e-16 4.295378e-16 2.718261e-16
122 1.248895e-15 1.737183e-15 6.015166e-15 1.273135e-15 6.187793e-16 4.596649e-16 4.163985e-16 2.636849e-16
123 1.210214e-15 1.692995e-15 5.824602e-15 1.239009e-15 5.989645e-16 4.468251e-16 4.037720e-16 2.558583e-16
124 1.173054e-15 1.650461e-15 5.641502e-15 1.206167e-15 5.799359e-16 4.344692e-16 3.916345e-16 2.483319e-16
125 1.137207e-15 1.609504e-15 5.465616e-15 1.174551e-15 5.616592e-16 4.225754e-16 3.799634e-16 2.410920e-16
126 1.102848e-15 1.570054e-15 5.296553e-15 1.144105e-15 5.440972e-16 4.111225e-16 3.687377e-16 2.341255e-16
127 1.069798e-15 1.532043e-15 5.133931e-15 1.114775e-15 5.272158e-16 4.000908e-16 3.579366e-16 2.274200e-16
128 1.037899e-15 1.495408e-15 4.977682e-15 1.086512e-15 5.109883e-16 3.894616e-16 3.475397e-16 2.209632e-16
129 1.007285e-15 1.460086e-15 4.827130e-15 1.059268e-15 4.953761e-16 3.792170e-16 3.375288e-16 2.147440e-16
130 9.777918e-16 1.426022e-15 4.682397e-15 1.032998e-15 4.803595e-16 3.693397e-16 3.278870e-16 2.087519e-16
131 9.493461e-16 1.393161e-15 4.543032e-15 1.007660e-15 4.659079e-16 3.598136e-16 3.185982e-16 2.029770e-16
132 9.219730e-16 1.361450e-15 4.408722e-15 9.832132e-16 4.519936e-16 3.506244e-16 3.096466e-16 1.974099e-16
133 8.955896e-16 1.330842e-15 4.279531e-15 9.596192e-16 4.386002e-16 3.417569e-16 3.010172e-16 1.920413e-16
134 8.701658e-16 1.301290e-15 4.154852e-15 9.368416e-16 4.256946e-16 3.331940e-16 2.926967e-16 1.868619e-16
135 8.456956e-16 1.272748e-15 4.034878e-15 9.148456e-16 4.132658e-16 3.249348e-16 2.846706e-16 1.818668e-16
136 8.232532e-16 1.245176e-15 3.919085e-15 8.935986e-16 4.012845e-16 3.169529e-16 2.769259e-16 1.770437e-16
137 8.010006e-16 1.218533e-15 3.807479e-15 8.730691e-16 3.897364e-16 3.092214e-16 2.694526e-16 1.723816e-16
138 7.794453e-16 1.192781e-15 3.699784e-15 8.532275e-16 3.786001e-16 3.018840e-16 2.622383e-16 1.679207e-16
139 7.584846e-16 1.167884e-15 3.595892e-15 8.340455e-16 3.678598e-16 2.948529e-16 2.552715e-16 1.636303e-16
140 7.381911e-16 1.143808e-15 3.495633e-15 8.154962e-16 3.574984e-16 2.879467e-16 2.485422e-16 1.594512e-16
141 7.184925e-16 1.120520e-15 3.398809e-15 7.975538e-16 3.474988e-16 2.812510e-16 2.420411e-16 1.554070e-16
142 6.994851e-16 1.097988e-15 3.305419e-15 7.801940e-16 3.378495e-16 2.747778e-16 2.357580e-16 1.514985e-16
143 6.811080e-16 1.076183e-15 3.215079e-15 7.633935e-16 3.285296e-16 2.685008e-16 2.296841e-16 1.477147e-16
144 6.632634e-16 1.055076e-15 3.127973e-15 7.471301e-16 3.195339e-16 2.624203e-16 2.238124e-16 1.440537e-16
145 6.460902e-16 1.034641e-15 3.043622e-15 7.313829e-16 3.108397e-16 2.565304e-16 2.181335e-16 1.405106e-16
146 6.293942e-16 1.014852e-15 2.962249e-15 7.161315e-16 3.024438e-16 2.508230e-16 2.126392e-16 1.370805e-16
147 6.132694e-16 9.956834e-16 2.883498e-15 7.013569e-16 2.943277e-16 2.452920e-16 2.073235e-16 1.337598e-16
148 5.976362e-16 9.771124e-16 2.807372e-15 6.870405e-16 2.864832e-16 2.399309e-16 2.021789e-16 1.305440e-16
149 5.825203e-16 9.591166e-16 2.733742e-15 6.731650e-16 2.788988e-16 2.347335e-16 1.971981e-16 1.274289e-16
150 5.678841e-16 9.416743e-16 2.662514e-15 6.597135e-16 2.715642e-16 2.296937e-16 1.923750e-16 1.244108e-16
151 5.537020e-16 9.247651e-16 2.593608e-15 6.466700e-16 2.644701e-16 2.248059e-16 1.877039e-16 1.214863e-16
152 5.399762e-16 9.083696e-16 2.526901e-15 6.340195e-16 2.576061e-16 2.200646e-16 1.831791e-16 1.186520e-16
153 5.266795e-16 8.924691e-16 2.462368e-15 6.217472e-16 2.509650e-16 2.154642e-16 1.787947e-16 1.159041e-16
154 5.137891e-16 8.770455e-16 2.399816e-15 6.098392e-16 2.445351e-16 2.109996e-16 1.745455e-16 1.132396e-16
155 5.013070e-16 8.620819e-16 2.339308e-15 5.982820e-16 2.383122e-16 2.066658e-16 1.704265e-16 1.106554e-16
156 4.891529e-16 8.475618e-16 2.280657e-15 5.870630e-16 2.322854e-16 2.024582e-16 1.664327e-16 1.081485e-16
157 4.774234e-16 8.334694e-16 2.223873e-15 5.761698e-16 2.264494e-16 1.983722e-16 1.625594e-16 1.057161e-16
158 4.660412e-16 8.197898e-16 2.168805e-15 5.655908e-16 2.207948e-16 1.944035e-16 1.588022e-16 1.033555e-16
159 4.550070e-16 8.065087e-16 2.115509e-15 5.553148e-16 2.153183e-16 1.905479e-16 1.551571e-16 1.010641e-16
