Ls T E B
343 2.139546e-17 4.253152e-18 4.065910e-18
344 2.104061e-17 4.240874e-18 4.054332e-18
345 2.069181e-17 4.228678e-18 4.042822e-18
346 2.034866e-17 4.216549e-18 4.031380e-18
347 2.001131e-17 4.204500e-18 4.020004e-18
348 1.967947e-17 4.192519e-18 4.008696e-18
349 1.935315e-17 4.180605e-18 3.997469e-18
350 1.903222e-17 4.168759e-18 3.986296e-18
351 1.871667e-17 4.156980e-18 3.975190e-18
352 1.840637e-17 4.145268e-18 3.964164e-18
353 1.810119e-17 4.133637e-18 3.953193e-18
354 1.780099e-17 4.122059e-18 3.942289e-18
355 1.750591e-17 4.110549e-18 3.931438e-18
356 1.721567e-17 4.099120e-18 3.920669e-18
357 1.693014e-17 4.087745e-18 3.909953e-18
358 1.664946e-17 4.076437e-18 3.899291e-18
359 1.652318e-17 4.065196e-18 3.888710e-18
360 1.654782e-17 4.054009e-18 3.878183e-18
361 1.657259e-17 4.042903e-18 3.867709e-18
362 1.659722e-17 4.031851e-18 3.857303e-18
363 1.662199e-17 4.020852e-18 3.846965e-18
364 1.664690e-17 4.009935e-18 3.836680e-18
365 1.667167e-17 3.999058e-18 3.826449e-18
366 1.669657e-17 3.988261e-18 3.816285e-18
367 1.672148e-17 3.977518e-18 3.806175e-18
368 1.674638e-17 3.966830e-18 3.796132e-18
369 1.677142e-17 3.956208e-18 3.786130e-18
370 1.679646e-17 3.945654e-18 3.776195e-18
371 1.682150e-17 3.935140e-18 3.766314e-18
372 1.684667e-17 3.924707e-18 3.756500e-18
373 1.687171e-17 3.914315e-18 3.746727e-18
374 1.689689e-17 3.903989e-18 3.737021e-18
375 1.692220e-17 3.893718e-18 3.727355e-18
376 1.694737e-17 3.883500e-18 3.717757e-18
377 1.697268e-17 3.873336e-18 3.708212e-18
378 1.699799e-17 3.863240e-18 3.698708e-18
379 1.702343e-17 3.853184e-18 3.689271e-18
380 1.704887e-17 3.843195e-18 3.679875e-18
381 1.707432e-17 3.833260e-18 3.670546e-18
382 1.709976e-17 3.823379e-18 3.661257e-18
383 1.712534e-17 3.813552e-18 3.652022e-18
384 1.715078e-17 3.803765e-18 3.642841e-18
385 1.717649e-17 3.794046e-18 3.633714e-18
386 1.720207e-17 3.784380e-18 3.624627e-18
387 1.722778e-17 3.774755e-18 3.615594e-18
388 1.725349e-17 3.765197e-18 3.606615e-18
389 1.727921e-17 3.755679e-18 3.597676e-18
