Ls TT TE TB EE EB EB_gmv TEB_gmv
176 8.211073e-16 1.805722e-15 3.269759e-15 1.459081e-15 3.289519e-16 2.684333e-16 1.894175e-16
177 8.032552e-16 1.774803e-15 3.199645e-15 1.432722e-15 3.218270e-16 2.627960e-16 1.854650e-16
178 7.858924e-16 1.744675e-15 3.131445e-15 1.407041e-15 3.148976e-16 2.573111e-16 1.816190e-16
179 7.690032e-16 1.715315e-15 3.065096e-15 1.382019e-15 3.081574e-16 2.519734e-16 1.778759e-16
180 7.525713e-16 1.686696e-15 3.000538e-15 1.357634e-15 3.016002e-16 2.467781e-16 1.742324e-16
181 7.365825e-16 1.658795e-15 2.937712e-15 1.333865e-15 2.952200e-16 2.417207e-16 1.706854e-16
182 7.210219e-16 1.631592e-15 2.876562e-15 1.310694e-15 2.890111e-16 2.367968e-16 1.672317e-16
183 7.058760e-16 1.605062e-15 2.817036e-15 1.288102e-15 2.829678e-16 2.320020e-16 1.638683e-16
184 6.911319e-16 1.579187e-15 2.759079e-15 1.266069e-15 2.770850e-16 2.273323e-16 1.605923e-16
185 6.767760e-16 1.553946e-15 2.702644e-15 1.244581e-15 2.713575e-16 2.227837e-16 1.574010e-16
186 6.627962e-16 1.529320e-15 2.647681e-15 1.223618e-15 2.657803e-16 2.183523e-16 1.542918e-16
187 6.491811e-16 1.505289e-15 2.594144e-15 1.203166e-15 2.603487e-16 2.140346e-16 1.512620e-16
188 6.359189e-16 1.481837e-15 2.541989e-15 1.183210e-15 2.550582e-16 2.098270e-16 1.483092e-16
189 6.229984e-16 1.458945e-15 2.491172e-15 1.163733e-15 2.499043e-16 2.057260e-16 1.454310e-16
190 6.104097e-16 1.436597e-15 2.441653e-15 1.144722e-15 2.448828e-16 2.017284e-16 1.426252e-16
191 5.981416e-16 1.414777e-15 2.393391e-15 1.126162e-15 2.399896e-16 1.978310e-16 1.398894e-16
192 5.861850e-16 1.393469e-15 2.346348e-15 1.108040e-15 2.352207e-16 1.940308e-16 1.372216e-16
193 5.745301e-16 1.372659e-15 2.300486e-15 1.090344e-15 2.305724e-16 1.903249e-16 1.346198e-16
194 5.631676e-16 1.352331e-15 2.255770e-15 1.073060e-15 2.260410e-16 1.867103e-16 1.320819e-16
195 5.520888e-16 1.332471e-15 2.212165e-15 1.056177e-15 2.216229e-16 1.831844e-16 1.296059e-16
