Ls TT TE TB EE EB EB_gmv TEB_gmv
89 5.837141e-15 7.275252e-15 1.370024e-13 6.550222e-15 1.412083e-14 4.474595e-15 2.033483e-15
90 5.588252e-15 6.992824e-15 1.310483e-13 6.291712e-15 1.350539e-14 4.292146e-15 1.950098e-15
91 5.352666e-15 6.725067e-15 1.254155e-13 6.046691e-15 1.292318e-14 4.119295e-15 1.871107e-15
92 5.129533e-15 6.471057e-15 1.200832e-13 5.814312e-15 1.237206e-14 3.955435e-15 1.796231e-15
93 4.918071e-15 6.229941e-15 1.150324e-13 5.593777e-15 1.185007e-14 3.800002e-15 1.725213e-15
94 4.717547e-15 6.000930e-15 1.102455e-13 5.384368e-15 1.135537e-14 3.652476e-15 1.657812e-15
95 4.527289e-15 5.783288e-15 1.057061e-13 5.185399e-15 1.088628e-14 3.512371e-15 1.593808e-15
96 4.346666e-15 5.576324e-15 1.013988e-13 4.996246e-15 1.044120e-14 3.379238e-15 1.532994e-15
97 4.175097e-15 5.379418e-15 9.730973e-14 4.816318e-15 1.001869e-14 3.252659e-15 1.475179e-15
98 4.012039e-15 5.191966e-15 9.342556e-14 4.645078e-15 9.617383e-15 3.132243e-15 1.420185e-15
99 3.856987e-15 5.013421e-15 8.973412e-14 4.482013e-15 9.236016e-15 3.017631e-15 1.367846e-15
100 3.709472e-15 4.843272e-15 8.622404e-14 4.326652e-15 8.873408e-15 2.908483e-15 1.318007e-15
101 3.569056e-15 4.681035e-15 8.288471e-14 4.178554e-15 8.528462e-15 2.804485e-15 1.270524e-15
102 3.435329e-15 4.526273e-15 7.970621e-14 4.037308e-15 8.200155e-15 2.705344e-15 1.225264e-15
103 3.307911e-15 4.378560e-15 7.667938e-14 3.902530e-15 7.887533e-15 2.610786e-15 1.182099e-15
104 3.186445e-15 4.237507e-15 7.379552e-14 3.773858e-15 7.589704e-15 2.520554e-15 1.140914e-15
105 3.070599e-15 4.102755e-15 7.104664e-14 3.650959e-15 7.305838e-15 2.434409e-15 1.101598e-15
106 2.960062e-15 3.973956e-15 6.842520e-14 3.533520e-15 7.035154e-15 2.352127e-15 1.064049e-15
107 2.854541e-15 3.850793e-15 6.592416e-14 3.421246e-15 6.776923e-15 2.273498e-15 1.028171e-15
108 2.753765e-15 3.732967e-15 6.353695e-14 3.313859e-15 6.530464e-15 2.198326e-15 9.938738e-16
109 2.657478e-15 3.620197e-15 6.125736e-14 3.211102e-15 6.295137e-15 2.126428e-15 9.610737e-16
110 2.565440e-15 3.512216e-15 5.907963e-14 3.112733e-15 6.070348e-15 2.057629e-15 9.296909e-16
111 2.477426e-15 3.408783e-15 5.699833e-14 3.018524e-15 5.855528e-15 1.991768e-15 8.996516e-16
112 2.393227e-15 3.309659e-15 5.500836e-14 2.928259e-15 5.650157e-15 1.928692e-15 8.708860e-16
113 2.312642e-15 3.214629e-15 5.310496e-14 2.841741e-15 5.453738e-15 1.868260e-15 8.433287e-16
114 2.235487e-15 3.123486e-15 5.128363e-14 2.758777e-15 5.265808e-15 1.810335e-15 8.169183e-16
115 2.161587e-15 3.036037e-15 4.954015e-14 2.679192e-15 5.085928e-15 1.754793e-15 7.915965e-16
116 2.090775e-15 2.952100e-15 4.787056e-14 2.602818e-15 4.913688e-15 1.701513e-15 7.673093e-16
117 2.022899e-15 2.871503e-15 4.627111e-14 2.529497e-15 4.748700e-15 1.650384e-15 7.440053e-16
118 1.957811e-15 2.794084e-15 4.473829e-14 2.459079e-15 4.590604e-15 1.601300e-15 7.216359e-16
119 1.895374e-15 2.719693e-15 4.326879e-14 2.391426e-15 4.439053e-15 1.554161e-15 7.001559e-16
120 1.835459e-15 2.648183e-15 4.185949e-14 2.326404e-15 4.293727e-15 1.508874e-15 6.795220e-16
121 1.777943e-15 2.579418e-15 4.050745e-14 2.263891e-15 4.154321e-15 1.465350e-15 6.596939e-16
122 1.722710e-15 2.513273e-15 3.920990e-14 2.203766e-15 4.020547e-15 1.423506e-15 6.406332e-16
123 1.669653e-15 2.449625e-15 3.796421e-14 2.145920e-15 3.892133e-15 1.383261e-15 6.223037e-16
124 1.618667e-15 2.388358e-15 3.676789e-14 2.090244e-15 3.768825e-15 1.344542e-15 6.046714e-16
125 1.569656e-15 2.329364e-15 3.561864e-14 2.036644e-15 3.650381e-15 1.307279e-15 5.877039e-16
126 1.522527e-15 2.272543e-15 3.451423e-14 1.985020e-15 3.536572e-15 1.271403e-15 5.713708e-16
127 1.477194e-15 2.217794e-15 3.345256e-14 1.935288e-15 3.427181e-15 1.236853e-15 5.556430e-16
128 1.433575e-15 2.165027e-15 3.243168e-14 1.887362e-15 3.322004e-15 1.203567e-15 5.404931e-16
129 1.391591e-15 2.114155e-15 3.144969e-14 1.841160e-15 3.220848e-15 1.171490e-15 5.258954e-16
130 1.351169e-15 2.065096e-15 3.050486e-14 1.796607e-15 3.123528e-15 1.140568e-15 5.118251e-16
131 1.312238e-15 2.017770e-15 2.959547e-14 1.753630e-15 3.029874e-15 1.110750e-15 4.982591e-16
132 1.274733e-15 1.972104e-15 2.871996e-14 1.712165e-15 2.939717e-15 1.081988e-15 4.851751e-16
133 1.238591e-15 1.928025e-15 2.787682e-14 1.672143e-15 2.852905e-15 1.054235e-15 4.725524e-16
134 1.203751e-15 1.885470e-15 2.706461e-14 1.633505e-15 2.769289e-15 1.027449e-15 4.603710e-16
