Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter
152 7.603402e-16 1.285119e-15 1.642394e-14 1.095332e-15 1.690690e-15 3.315429e-16 6.646993e-16 2.770257e-16 2.149098e-16
153 7.417500e-16 1.262873e-15 1.600584e-14 1.075005e-15 1.647342e-15 3.246877e-16 6.505051e-16 2.710708e-16 2.105074e-16
154 7.237319e-16 1.241298e-15 1.560106e-14 1.055284e-15 1.605383e-15 3.180350e-16 6.367331e-16 2.652927e-16 2.062351e-16
155 7.062774e-16 1.220371e-15 1.520916e-14 1.036146e-15 1.564762e-15 3.115773e-16 6.233676e-16 2.596851e-16 2.020882e-16
156 6.893150e-16 1.200068e-15 1.482959e-14 1.017571e-15 1.525425e-15 3.053076e-16 6.103937e-16 2.542417e-16 1.980620e-16
157 6.729107e-16 1.180366e-15 1.446194e-14 9.995387e-16 1.487327e-15 2.992190e-16 5.977970e-16 2.489565e-16 1.941521e-16
158 6.569963e-16 1.161246e-15 1.410571e-14 9.820292e-16 1.450418e-15 2.933049e-16 5.855638e-16 2.438238e-16 1.903545e-16
159 6.415643e-16 1.142687e-15 1.376055e-14 9.650242e-16 1.414656e-15 2.875593e-16 5.736810e-16 2.388381e-16 1.866650e-16
160 6.265706e-16 1.124669e-15 1.342596e-14 9.485059e-16 1.379998e-15 2.819761e-16 5.621361e-16 2.339942e-16 1.830798e-16
161 6.119924e-16 1.107175e-15 1.310163e-14 9.324574e-16 1.346403e-15 2.765492e-16 5.509171e-16 2.292869e-16 1.795952e-16
162 5.983417e-16 1.090186e-15 1.278711e-14 9.168622e-16 1.313831e-15 2.712743e-16 5.400125e-16 2.247121e-16 1.762077e-16
163 5.849845e-16 1.073686e-15 1.248213e-14 9.017049e-16 1.282247e-15 2.661465e-16 5.294111e-16 2.202654e-16 1.729139e-16
164 5.719044e-16 1.057657e-15 1.218628e-14 8.869701e-16 1.251614e-15 2.611602e-16 5.191025e-16 2.159421e-16 1.697105e-16
165 5.591409e-16 1.042085e-15 1.189925e-14 8.726438e-16 1.221898e-15 2.563338e-16 5.090763e-16 2.117537e-16 1.665945e-16
166 5.466974e-16 1.026954e-15 1.162074e-14 8.587118e-16 1.193066e-15 2.516929e-16 4.993230e-16 2.077167e-16 1.635627e-16
167 5.346216e-16 1.012251e-15 1.135044e-14 8.451611e-16 1.165086e-15 2.471819e-16 4.898331e-16 2.037923e-16 1.606125e-16
168 5.228608e-16 9.979603e-16 1.108806e-14 8.319788e-16 1.137929e-15 2.427484e-16 4.805976e-16 1.999440e-16 1.577409e-16
169 5.114226e-16 9.840699e-16 1.083332e-14 8.191528e-16 1.111566e-15 2.384176e-16 4.716080e-16 1.961882e-16 1.549453e-16
170 5.002895e-16 9.705667e-16 1.058596e-14 8.066712e-16 1.085969e-15 2.342034e-16 4.628561e-16 1.925336e-16 1.522233e-16
171 4.894514e-16 9.574384e-16 1.034571e-14 7.945227e-16 1.061112e-15 2.300958e-16 4.543337e-16 1.889727e-16 1.495723e-16
172 4.789436e-16 9.446732e-16 1.011235e-14 7.826964e-16 1.036968e-15 2.260906e-16 4.460334e-16 1.855019e-16 1.469900e-16
173 4.686676e-16 9.322597e-16 9.885633e-15 7.711819e-16 1.013514e-15 2.221868e-16 4.379477e-16 1.821199e-16 1.444741e-16
174 4.586855e-16 9.201871e-16 9.665320e-15 7.599692e-16 9.907248e-16 2.183814e-16 4.300697e-16 1.788239e-16 1.420225e-16
175 4.489654e-16 9.084449e-16 9.451220e-15 7.490486e-16 9.685797e-16 2.146708e-16 4.223925e-16 1.756110e-16 1.396331e-16
