Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv TEB_iter TEB_iter_ext
58 6.682657e-14 9.573714e-14 2.533606e-13 8.392066e-14 2.635541e-14 2.701226e-14 2.005660e-14 1.331702e-14 1.103969e-14 1.071228e-14
59 6.243304e-14 8.958622e-14 2.367184e-13 7.850359e-14 2.462075e-14 2.525720e-14 1.874259e-14 1.244605e-14 1.032435e-14 1.001828e-14
60 5.839570e-14 8.392966e-14 2.214251e-13 7.352266e-14 2.302682e-14 2.364378e-14 1.753498e-14 1.164559e-14 9.666481e-15 9.380026e-15
61 5.467945e-14 7.872028e-14 2.073515e-13 6.893623e-14 2.156012e-14 2.215845e-14 1.642357e-14 1.090888e-14 9.060550e-15 8.792161e-15
62 5.125682e-14 7.391611e-14 1.943825e-13 6.470722e-14 2.020865e-14 2.078914e-14 1.539931e-14 1.022989e-14 8.501754e-15 8.250022e-15
63 4.809755e-14 6.947968e-14 1.824157e-13 6.080256e-14 1.896171e-14 1.952511e-14 1.445410e-14 9.603149e-15 7.985705e-15 7.749353e-15
64 4.517988e-14 6.537754e-14 1.713592e-13 5.719270e-14 1.780973e-14 1.835675e-14 1.358071e-14 9.024055e-15 7.508566e-15 7.286431e-15
65 4.247832e-14 6.157973e-14 1.611313e-13 5.385121e-14 1.674416e-14 1.727548e-14 1.277270e-14 8.488269e-15 7.066824e-15 6.857849e-15
66 3.997791e-14 5.805939e-14 1.516583e-13 5.075437e-14 1.575733e-14 1.627358e-14 1.202425e-14 7.991954e-15 6.657396e-15 6.460616e-15
67 3.765946e-14 5.479238e-14 1.428743e-13 4.788088e-14 1.484235e-14 1.534414e-14 1.133017e-14 7.531592e-15 6.277451e-15 6.091985e-15
68 3.550565e-14 5.175701e-14 1.347199e-13 4.521159e-14 1.399302e-14 1.448093e-14 1.068577e-14 7.104230e-15 5.924494e-15 5.749537e-15
69 3.350484e-14 4.893371e-14 1.271417e-13 4.272921e-14 1.320378e-14 1.367835e-14 1.008684e-14 6.706939e-15 5.596227e-15 5.431041e-15
70 3.164349e-14 4.630482e-14 1.200913e-13 4.041819e-14 1.246958e-14 1.293133e-14 9.529571e-15 6.337229e-15 5.290620e-15 5.134529e-15
71 2.990949e-14 4.385438e-14 1.135253e-13 3.826442e-14 1.178587e-14 1.223530e-14 9.010528e-15 5.992905e-15 5.005796e-15 4.858180e-15
72 2.829421e-14 4.156794e-14 1.074041e-13 3.625516e-14 1.114855e-14 1.158613e-14 8.526599e-15 5.671863e-15 4.740094e-15 4.600381e-15
73 2.678577e-14 3.943241e-14 1.016920e-13 3.437886e-14 1.055388e-14 1.098006e-14 8.074964e-15 5.372172e-15 4.491972e-15 4.359638e-15
74 2.537701e-14 3.743590e-14 9.635657e-14 3.262503e-14 9.998471e-15 1.041369e-14 7.653065e-15 5.092197e-15 4.260063e-15 4.134624e-15
75 2.405994e-14 3.556761e-14 9.136835e-14 3.098414e-14 9.479259e-15 9.883914e-15 7.258577e-15 4.830399e-15 4.043092e-15 3.924103e-15
76 2.282786e-14 3.381769e-14 8.670052e-14 2.944750e-14 8.993442e-15 9.387926e-15 6.889384e-15 4.585354e-15 3.839928e-15 3.726976e-15
77 2.167320e-14 3.217718e-14 8.232864e-14 2.800722e-14 8.538473e-15 8.923159e-15 6.543559e-15 4.355824e-15 3.649514e-15 3.542220e-15
78 2.059200e-14 3.063791e-14 7.823044e-14 2.665608e-14 8.112027e-15 8.487269e-15 6.219344e-15 4.140596e-15 3.470909e-15 3.368921e-15
79 1.957662e-14 2.919240e-14 7.438556e-14 2.538749e-14 7.711982e-15 8.078120e-15 5.915136e-15 3.938656e-15 3.303231e-15 3.206222e-15
80 1.862376e-14 2.783382e-14 7.077541e-14 2.419543e-14 7.336398e-15 7.693755e-15 5.629464e-15 3.748952e-15 3.145693e-15 3.053362e-15
81 1.772797e-14 2.655592e-14 6.738296e-14 2.307438e-14 6.983500e-15 7.332385e-15 5.360987e-15 3.570692e-15 2.997557e-15 2.909623e-15
82 1.688613e-14 2.535295e-14 6.419261e-14 2.201927e-14 6.651660e-15 6.992369e-15 5.108474e-15 3.403030e-15 2.858162e-15 2.774363e-15
83 1.609364e-14 2.421966e-14 6.119005e-14 2.102548e-14 6.339386e-15 6.672253e-15 4.870794e-15 3.245204e-15 2.726886e-15 2.646982e-15
84 1.534790e-14 2.315120e-14 5.836214e-14 2.008874e-14 6.045308e-15 6.370648e-15 4.646912e-15 3.096557e-15 2.603171e-15 2.526937e-15
85 1.464516e-14 2.214314e-14 5.569680e-14 1.920513e-14 5.768165e-15 6.086250e-15 4.435873e-15 2.956382e-15 2.486494e-15 2.413719e-15
86 1.398232e-14 2.119138e-14 5.318291e-14 1.837104e-14 5.506800e-15 5.817882e-15 4.236801e-15 2.824175e-15 2.376382e-15 2.306871e-15
87 1.335706e-14 2.029214e-14 5.081024e-14 1.758315e-14 5.260145e-15 5.564459e-15 4.048887e-15 2.699380e-15 2.272389e-15 2.205960e-15
88 1.276650e-14 1.944195e-14 4.856935e-14 1.683839e-14 5.027215e-15 5.324984e-15 3.871386e-15 2.581484e-15 2.174114e-15 2.110597e-15
89 1.220817e-14 1.863760e-14 4.645152e-14 1.613394e-14 4.807103e-15 5.098536e-15 3.703612e-15 2.470021e-15 2.081178e-15 2.020413e-15
90 1.168054e-14 1.787612e-14 4.444873e-14 1.546717e-14 4.598969e-15 4.884271e-15 3.544929e-15 2.364599e-15 1.993238e-15 1.935077e-15
91 1.118088e-14 1.715476e-14 4.255352e-14 1.483567e-14 4.402040e-15 4.681401e-15 3.394750e-15 2.264833e-15 1.909971e-15 1.854275e-15
92 1.070773e-14 1.647098e-14 4.075902e-14 1.423721e-14 4.215596e-15 4.489200e-15 3.252531e-15 2.170306e-15 1.831082e-15 1.777721e-15
93 1.026000e-14 1.582244e-14 3.905885e-14 1.366970e-14 4.038975e-15 4.306998e-15 3.117770e-15 2.080753e-15 1.756295e-15 1.705146e-15
94 9.835494e-15 1.520694e-14 3.744711e-14 1.313123e-14 3.871560e-15 4.134171e-15 2.990000e-15 1.995846e-15 1.685356e-15 1.636306e-15
95 9.432305e-15 1.462245e-14 3.591832e-14 1.262001e-14 3.712781e-15 3.970140e-15 2.868789e-15 1.915289e-15 1.618027e-15 1.570967e-15
96 9.050111e-15 1.406711e-14 3.446740e-14 1.213439e-14 3.562106e-15 3.814371e-15 2.753735e-15 1.838791e-15 1.554091e-15 1.508921e-15
97 8.686941e-15 1.353916e-14 3.308961e-14 1.167282e-14 3.419045e-15 3.666363e-15 2.644464e-15 1.766154e-15 1.493340e-15 1.449965e-15
98 8.342246e-15 1.303697e-14 3.178057e-14 1.123388e-14 3.283138e-15 3.525654e-15 2.540630e-15 1.697115e-15 1.435587e-15 1.393919e-15
99 8.014184e-15 1.255902e-14 3.053618e-14 1.081622e-14 3.153960e-15 3.391811e-15 2.441911e-15 1.631467e-15 1.380654e-15 1.340608e-15
100 7.702225e-15 1.210391e-14 2.935264e-14 1.041862e-14 3.031115e-15 3.264434e-15 2.348004e-15 1.569018e-15 1.328377e-15 1.289874e-15
101 7.405772e-15 1.167033e-14 2.822641e-14 1.003990e-14 2.914231e-15 3.143147e-15 2.258630e-15 1.509576e-15 1.278601e-15 1.241567e-15
102 7.123129e-15 1.125703e-14 2.715416e-14 9.678989e-15 2.802965e-15 3.027601e-15 2.173527e-15 1.452968e-15 1.231184e-15 1.195549e-15
103 6.854012e-15 1.086289e-14 2.613282e-14 9.334881e-15 2.696996e-15 2.917470e-15 2.092453e-15 1.399032e-15 1.185991e-15 1.151689e-15
104 6.597694e-15 1.048682e-14 2.515950e-14 9.006632e-15 2.596022e-15 2.812448e-15 2.015178e-15 1.347624e-15 1.142898e-15 1.109866e-15
105 6.353182e-15 1.012782e-14 2.423151e-14 8.693361e-15 2.499763e-15 2.712253e-15 1.941490e-15 1.298597e-15 1.101787e-15 1.069967e-15
106 6.120150e-15 9.784962e-15 2.334633e-14 8.394245e-15 2.407956e-15 2.616617e-15 1.871190e-15 1.251809e-15 1.062551e-15 1.031887e-15
107 5.897484e-15 9.457367e-15 2.250160e-14 8.108512e-15 2.320357e-15 2.525290e-15 1.804092e-15 1.207148e-15 1.025084e-15 9.955244e-16
108 5.685055e-15 9.144212e-15 2.169512e-14 7.835440e-15 2.236735e-15 2.438040e-15 1.740021e-15 1.164508e-15 9.892941e-16 9.607880e-16
109 5.482043e-15 8.844728e-15 2.092481e-14 7.574352e-15 2.156875e-15 2.354646e-15 1.678815e-15 1.123762e-15 9.550888e-16 9.275895e-16
110 5.288406e-15 8.558193e-15 2.018875e-14 7.324613e-15 2.080575e-15 2.274908e-15 1.620319e-15 1.084818e-15 9.223852e-16 8.958483e-16
111 5.103151e-15 8.283928e-15 1.948510e-14 7.085629e-15 2.007646e-15 2.198642e-15 1.564390e-15 1.047595e-15 8.911033e-16 8.654865e-16
112 4.926192e-15 8.021299e-15 1.881218e-14 6.856838e-15 1.937910e-15 2.125668e-15 1.510894e-15 1.011972e-15 8.611698e-16 8.364332e-16
113 4.756801e-15 7.769707e-15 1.816837e-14 6.637717e-15 1.871200e-15 2.055808e-15 1.459704e-15 9.778901e-16 8.325141e-16 8.086199e-16
114 4.594820e-15 7.528591e-15 1.755217e-14 6.427770e-15 1.807361e-15 1.988900e-15 1.410700e-15 9.452566e-16 8.050716e-16 7.819837e-16
115 4.439597e-15 7.297421e-15 1.696217e-14 6.226535e-15 1.746244e-15 1.924794e-15 1.363771e-15 9.140036e-16 7.787797e-16 7.564642e-16
116 4.290958e-15 7.075700e-15 1.639703e-14 6.033573e-15 1.687710e-15 1.863347e-15 1.318812e-15 8.840590e-16 7.535814e-16 7.320057e-16
117 4.148526e-15 6.862960e-15 1.585551e-14 5.848473e-15 1.631631e-15 1.804426e-15 1.275724e-15 8.553555e-16 7.294212e-16 7.085547e-16
118 4.012036e-15 6.658759e-15 1.533642e-14 5.670847e-15 1.577882e-15 1.747906e-15 1.234413e-15 8.278362e-16 7.062483e-16 6.860618e-16
119 3.881118e-15 6.462682e-15 1.483865e-14 5.500330e-15 1.526348e-15 1.693668e-15 1.194792e-15 8.014373e-16 6.840138e-16 6.644794e-16
120 3.755639e-15 6.274335e-15 1.436116e-14 5.336578e-15 1.476920e-15 1.641601e-15 1.156777e-15 7.761086e-16 6.626725e-16 6.437638e-16
121 3.635085e-15 6.093350e-15 1.390295e-14 5.179265e-15 1.429496e-15 1.591601e-15 1.120291e-15 7.517869e-16 6.421807e-16 6.238726e-16
122 3.519407e-15 5.919375e-15 1.346310e-14 5.028084e-15 1.383978e-15 1.543567e-15 1.085260e-15 7.284338e-16 6.224982e-16 6.047668e-16
123 3.408430e-15 5.752082e-15 1.304073e-14 4.882746e-15 1.340274e-15 1.497406e-15 1.051615e-15 7.060092e-16 6.035861e-16 5.864086e-16
124 3.301878e-15 5.591158e-15 1.263500e-14 4.742977e-15 1.298300e-15 1.453031e-15 1.019289e-15 6.844579e-16 5.854086e-16 5.687632e-16
125 3.199235e-15 5.436309e-15 1.224513e-14 4.608518e-15 1.257972e-15 1.410358e-15 9.882203e-16 6.637454e-16 5.679309e-16 5.517970e-16
126 3.100745e-15 5.287254e-15 1.187039e-14 4.479123e-15 1.219213e-15 1.369307e-15 9.583509e-16 6.438285e-16 5.511210e-16 5.354788e-16
127 3.006118e-15 5.143731e-15 1.151005e-14 4.354563e-15 1.181951e-15 1.329805e-15 9.296248e-16 6.246689e-16 5.349477e-16 5.197784e-16
128 2.914882e-15 5.005490e-15 1.116348e-14 4.234616e-15 1.146117e-15 1.291780e-15 9.019895e-16 6.062353e-16 5.193824e-16 5.046681e-16
129 2.827317e-15 4.872292e-15 1.083002e-14 4.119076e-15 1.111645e-15 1.255166e-15 8.753953e-16 5.884961e-16 5.043972e-16 4.901207e-16
130 2.743059e-15 4.743916e-15 1.050910e-14 4.007745e-15 1.078473e-15 1.219898e-15 8.497952e-16 5.714120e-16 4.899664e-16 4.761114e-16
131 2.661745e-15 4.620147e-15 1.020015e-14 3.900438e-15 1.046542e-15 1.185919e-15 8.251444e-16 5.549603e-16 4.760649e-16 4.626157e-16
132 2.583599e-15 4.500784e-15 9.902623e-15 3.796977e-15 1.015798e-15 1.153170e-15 8.014008e-16 5.391164e-16 4.626697e-16 4.496114e-16
133 2.508309e-15 4.385635e-15 9.616025e-15 3.697195e-15 9.861871e-16 1.121597e-15 7.785241e-16 5.238469e-16 4.497581e-16 4.370765e-16
134 2.435683e-15 4.274520e-15 9.339871e-15 3.600933e-15 9.576596e-16 1.091150e-15 7.564764e-16 5.091298e-16 4.373095e-16 4.249908e-16
135 2.365835e-15 4.167266e-15 9.073707e-15 3.508038e-15 9.301681e-16 1.061779e-15 7.352216e-16 4.949409e-16 4.253035e-16 4.133347e-16
136 2.298347e-15 4.063708e-15 8.817098e-15 3.418369e-15 9.036677e-16 1.033438e-15 7.147254e-16 4.812552e-16 4.137214e-16 4.020900e-16
137 2.233464e-15 3.963692e-15 8.569635e-15 3.331788e-15 8.781155e-16 1.006084e-15 6.949553e-16 4.680508e-16 4.025448e-16 3.912389e-16
138 2.170712e-15 3.867069e-15 8.330926e-15 3.248166e-15 8.534709e-16 9.796781e-16 6.758802e-16 4.553094e-16 3.917569e-16 3.807651e-16
139 2.110344e-15 3.773699e-15 8.100600e-15 3.167379e-15 8.296955e-16 9.541819e-16 6.574709e-16 4.430135e-16 3.813411e-16 3.706523e-16
140 2.051943e-15 3.683448e-15 7.878305e-15 3.089311e-15 8.067525e-16 9.295575e-16 6.396993e-16 4.311435e-16 3.712822e-16 3.608859e-16
141 1.995728e-15 3.596188e-15 7.663704e-15 3.013849e-15 7.846070e-16 9.057666e-16 6.225390e-16 4.196757e-16 3.615651e-16 3.514513e-16
142 1.941344e-15 3.511797e-15 7.456479e-15 2.940887e-15 7.632259e-16 8.827740e-16 6.059646e-16 4.086008e-16 3.521760e-16 3.423350e-16
143 1.888849e-15 3.430162e-15 7.256325e-15 2.870325e-15 7.425776e-16 8.605475e-16 5.899519e-16 3.979064e-16 3.431013e-16 3.335239e-16
144 1.838109e-15 3.351170e-15 7.062953e-15 2.802065e-15 7.226319e-16 8.390559e-16 5.744782e-16 3.875655e-16 3.343284e-16 3.250057e-16
145 1.789139e-15 3.274718e-15 6.876088e-15 2.736017e-15 7.033604e-16 8.182689e-16 5.595216e-16 3.775680e-16 3.258452e-16 3.167686e-16
146 1.741675e-15 3.200706e-15 6.695467e-15 2.672092e-15 6.847356e-16 7.981584e-16 5.450612e-16 3.679027e-16 3.176401e-16 3.088015e-16
147 1.695992e-15 3.129037e-15 6.520839e-15 2.610206e-15 6.667317e-16 7.786983e-16 5.310772e-16 3.585502e-16 3.097019e-16 3.010935e-16
148 1.651638e-15 3.059622e-15 6.351967e-15 2.550282e-15 6.493237e-16 7.598623e-16 5.175508e-16 3.495029e-16 3.020203e-16 2.936345e-16
149 1.608831e-15 2.992373e-15 6.188622e-15 2.492241e-15 6.324881e-16 7.416254e-16 5.044638e-16 3.407519e-16 2.945852e-16 2.864147e-16
150 1.567436e-15 2.927207e-15 6.030587e-15 2.436012e-15 6.162024e-16 7.239649e-16 4.917992e-16 3.322822e-16 2.873870e-16 2.794249e-16
151 1.527288e-15 2.864044e-15 5.877655e-15 2.381525e-15 6.004450e-16 7.068592e-16 4.795403e-16 3.240805e-16 2.804165e-16 2.726561e-16
152 1.488518e-15 2.802811e-15 5.729629e-15 2.328715e-15 5.851954e-16 6.902867e-16 4.676717e-16 3.161371e-16 2.736650e-16 2.661000e-16
153 1.450936e-15 2.743433e-15 5.586319e-15 2.277518e-15 5.704340e-16 6.742261e-16 4.561782e-16 3.084459e-16 2.671242e-16 2.597483e-16
154 1.414601e-15 2.685842e-15 5.447545e-15 2.227874e-15 5.561420e-16 6.586587e-16 4.450457e-16 3.009963e-16 2.607862e-16 2.535934e-16
155 1.379353e-15 2.629972e-15 5.313135e-15 2.179724e-15 5.423016e-16 6.435667e-16 4.342603e-16 2.937768e-16 2.546432e-16 2.476278e-16
156 1.345163e-15 2.575759e-15 5.182924e-15 2.133014e-15 5.288956e-16 6.289318e-16 4.238092e-16 2.867784e-16 2.486881e-16 2.418446e-16
157 1.312115e-15 2.523144e-15 5.056754e-15 2.087691e-15 5.159077e-16 6.147368e-16 4.136797e-16 2.799948e-16 2.429137e-16 2.362368e-16
158 1.280062e-15 2.472067e-15 4.934474e-15 2.043704e-15 5.033223e-16 6.009653e-16 4.038599e-16 2.734200e-16 2.373136e-16 2.307982e-16
159 1.249026e-15 2.422475e-15 4.815942e-15 2.001004e-15 4.911244e-16 5.876028e-16 3.943384e-16 2.670419e-16 2.318812e-16 2.255224e-16
160 1.218866e-15 2.374313e-15 4.701017e-15 1.959546e-15 4.792997e-16 5.746344e-16 3.851042e-16 2.608530e-16 2.266105e-16 2.204036e-16
161 1.189671e-15 2.327531e-15 4.589570e-15 1.919285e-15 4.678345e-16 5.620450e-16 3.761470e-16 2.548509e-16 2.214956e-16 2.154360e-16
162 1.161396e-15 2.282080e-15 4.481472e-15 1.880179e-15 4.567157e-16 5.498213e-16 3.674565e-16 2.490287e-16 2.165311e-16 2.106143e-16
163 1.133835e-15 2.237914e-15 4.376604e-15 1.842186e-15 4.459307e-16 5.379506e-16 3.590234e-16 2.433781e-16 2.117113e-16 2.059332e-16
164 1.107242e-15 2.194988e-15 4.274849e-15 1.805268e-15 4.354676e-16 5.264205e-16 3.508382e-16 2.378900e-16 2.070313e-16 2.013878e-16
165 1.081403e-15 2.153258e-15 4.176097e-15 1.769387e-15 4.253148e-16 5.152194e-16 3.428923e-16 2.325606e-16 2.024861e-16 1.969732e-16
166 1.056272e-15 2.112684e-15 4.080239e-15 1.734507e-15 4.154612e-16 5.043367e-16 3.351772e-16 2.273888e-16 1.980710e-16 1.926849e-16
167 1.032018e-15 2.073226e-15 3.987176e-15 1.700594e-15 4.058963e-16 4.937621e-16 3.276848e-16 2.223659e-16 1.937815e-16 1.885185e-16
168 1.008295e-15 2.034846e-15 3.896808e-15 1.667615e-15 3.966099e-16 4.834852e-16 3.204072e-16 2.174835e-16 1.896131e-16 1.844698e-16
169 9.853573e-16 1.997508e-15 3.809041e-15 1.635538e-15 3.875923e-16 4.734945e-16 3.133371e-16 2.127410e-16 1.855618e-16 1.805347e-16
