Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
68 3.085652e-14 3.146696e-14 1.507412e-14 1.654806e-14 1.333238e-15 8.150329e-15 1.233831e-15 1.145594e-15
69 2.911781e-14 2.974717e-14 1.422471e-14 1.563018e-14 1.257929e-15 7.697836e-15 1.164231e-15 1.081040e-15
70 2.750027e-14 2.814588e-14 1.343451e-14 1.477590e-14 1.187875e-15 7.276692e-15 1.099484e-15 1.020986e-15
71 2.599316e-14 2.665337e-14 1.269864e-14 1.397997e-14 1.122642e-15 6.884319e-15 1.039191e-15 9.650598e-16
72 2.458966e-14 2.526082e-14 1.201266e-14 1.323766e-14 1.061837e-15 6.518378e-15 9.829885e-16 9.129261e-16
73 2.327853e-14 2.396025e-14 1.137256e-14 1.254467e-14 1.005105e-15 6.176753e-15 9.305472e-16 8.642797e-16
74 2.205409e-14 2.274441e-14 1.077471e-14 1.189710e-14 9.521205e-16 5.857521e-15 8.815688e-16 8.188438e-16
75 2.090932e-14 2.160671e-14 1.021579e-14 1.129140e-14 9.025914e-16 5.558937e-15 8.357822e-16 7.763673e-16
76 1.983854e-14 2.054115e-14 9.692805e-15 1.072436e-14 8.562504e-16 5.279410e-15 7.929407e-16 7.366215e-16
77 1.883475e-14 1.954227e-14 9.203006e-15 1.019304e-14 8.128539e-16 5.017493e-15 7.528196e-16 6.993980e-16
78 1.789523e-14 1.860509e-14 8.743895e-15 9.694755e-15 7.721802e-16 4.771864e-15 7.152139e-16 6.645069e-16
79 1.701250e-14 1.772504e-14 8.313190e-15 9.227056e-15 7.340265e-16 4.541317e-15 6.799365e-16 6.317747e-16
80 1.618429e-14 1.689796e-14 7.908804e-15 8.787708e-15 6.982076e-16 4.324749e-15 6.468162e-16 6.010429e-16
81 1.540552e-14 1.612004e-14 7.528827e-15 8.374660e-15 6.645539e-16 4.121149e-15 6.156966e-16 5.721662e-16
82 1.467385e-14 1.538777e-14 7.171509e-15 7.986036e-15 6.329101e-16 3.929592e-15 5.864339e-16 5.450116e-16
83 1.398496e-14 1.469796e-14 6.835245e-15 7.620113e-15 6.031337e-16 3.749254e-15 5.588968e-16 5.194577e-16
84 1.333693e-14 1.404766e-14 6.518561e-15 7.275307e-15 5.750938e-16 3.579354e-15 5.329643e-16 4.953923e-16
85 1.272629e-14 1.343414e-14 6.220101e-15 6.950164e-15 5.486701e-16 3.419155e-15 5.085254e-16 4.727122e-16
86 1.215030e-14 1.285493e-14 5.938620e-15 6.643346e-15 5.237521e-16 3.267995e-15 4.854777e-16 4.513225e-16
87 1.160707e-14 1.230771e-14 5.672969e-15 6.353618e-15 5.002378e-16 3.125262e-15 4.637272e-16 4.311359e-16
88 1.109395e-14 1.179037e-14 5.422088e-15 6.079843e-15 4.780332e-16 2.990392e-15 4.431872e-16 4.120719e-16
89 1.060875e-14 1.130095e-14 5.185002e-15 5.820972e-15 4.570517e-16 2.862867e-15 4.237775e-16 3.940562e-16
90 1.015035e-14 1.083765e-14 4.960809e-15 5.576034e-15 4.372131e-16 2.742211e-15 4.054241e-16 3.770203e-16
91 9.716095e-15 1.039878e-14 4.748673e-15 5.344133e-15 4.184436e-16 2.627978e-15 3.880587e-16 3.609007e-16
92 9.304858e-15 9.982802e-15 4.547825e-15 5.124439e-15 4.006746e-16 2.519762e-15 3.716181e-16 3.456388e-16
93 8.915899e-15 9.588281e-15 4.357548e-15 4.916183e-15 3.838426e-16 2.417183e-15 3.560436e-16 3.311804e-16
94 8.547083e-15 9.213885e-15 4.177180e-15 4.718652e-15 3.678890e-16 2.319890e-15 3.412810e-16 3.174750e-16
95 8.196583e-15 8.858381e-15 4.006108e-15 4.531185e-15 3.527591e-16 2.227555e-15 3.272799e-16 3.044760e-16
96 7.864486e-15 8.520620e-15 3.843760e-15 4.353169e-15 3.384025e-16 2.139877e-15 3.139936e-16 2.921400e-16
97 7.548824e-15 8.199538e-15 3.689608e-15 4.184031e-15 3.247721e-16 2.056574e-15 3.013786e-16 2.804267e-16
98 7.249335e-15 7.894143e-15 3.543157e-15 4.023243e-15 3.118242e-16 1.977384e-15 2.893945e-16 2.692988e-16
99 6.964150e-15 7.603511e-15 3.403951e-15 3.870309e-15 2.995181e-16 1.902064e-15 2.780037e-16 2.587212e-16
100 6.692975e-15 7.326783e-15 3.271561e-15 3.724770e-15 2.878159e-16 1.830387e-15 2.671714e-16 2.486617e-16
101 6.435413e-15 7.063158e-15 3.145591e-15 3.586197e-15 2.766825e-16 1.762142e-15 2.568648e-16 2.390900e-16
102 6.189696e-15 6.811887e-15 3.025668e-15 3.454191e-15 2.660848e-16 1.697132e-15 2.470536e-16 2.299779e-16
103 5.955771e-15 6.572272e-15 2.911448e-15 3.328377e-15 2.559922e-16 1.635173e-15 2.377095e-16 2.212991e-16
104 5.733013e-15 6.343661e-15 2.802607e-15 3.208407e-15 2.463760e-16 1.576093e-15 2.288058e-16 2.130290e-16
105 5.520461e-15 6.125443e-15 2.698843e-15 3.093955e-15 2.372095e-16 1.519733e-15 2.203180e-16 2.051447e-16
106 5.317956e-15 5.917049e-15 2.599874e-15 2.984717e-15 2.284675e-16 1.465940e-15 2.122227e-16 1.976247e-16
107 5.124348e-15 5.717944e-15 2.505435e-15 2.880407e-15 2.201267e-16 1.414576e-15 2.044985e-16 1.904490e-16
108 4.939691e-15 5.527628e-15 2.415278e-15 2.780758e-15 2.121652e-16 1.365508e-15 1.971250e-16 1.835988e-16
109 4.763173e-15 5.345632e-15 2.329174e-15 2.685520e-15 2.045623e-16 1.318612e-15 1.900832e-16 1.770563e-16
110 4.594926e-15 5.171515e-15 2.246903e-15 2.594458e-15 1.972989e-16 1.273775e-15 1.833554e-16 1.708053e-16
111 4.433901e-15 5.004867e-15 2.168263e-15 2.507352e-15 1.903568e-16 1.230894e-15 1.769248e-16 1.648302e-16
112 4.280158e-15 4.845298e-15 2.093062e-15 2.423994e-15 1.837192e-16 1.189867e-15 1.707757e-16 1.591165e-16
113 4.132950e-15 4.692445e-15 2.021120e-15 2.344192e-15 1.773700e-16 1.150594e-15 1.648936e-16 1.536506e-16
114 3.992232e-15 4.545966e-15 1.952270e-15 2.267762e-15 1.712945e-16 1.112983e-15 1.592645e-16 1.484196e-16
115 3.857331e-15 4.405538e-15 1.886352e-15 2.194533e-15 1.654784e-16 1.076950e-15 1.538755e-16 1.434114e-16
116 3.728165e-15 4.270859e-15 1.823218e-15 2.124344e-15 1.599086e-16 1.042414e-15 1.487143e-16 1.386147e-16
117 3.604386e-15 4.141643e-15 1.762727e-15 2.057042e-15 1.545727e-16 1.009301e-15 1.437694e-16 1.340188e-16
118 3.485782e-15 4.017622e-15 1.704746e-15 1.992484e-15 1.494590e-16 9.775387e-16 1.390301e-16 1.296137e-16
119 3.372004e-15 3.898543e-15 1.649152e-15 1.930536e-15 1.445563e-16 9.470618e-16 1.344861e-16 1.253899e-16
120 3.262987e-15 3.784165e-15 1.595828e-15 1.871071e-15 1.398544e-16 9.178072e-16 1.301279e-16 1.213385e-16
121 3.158194e-15 3.674265e-15 1.544661e-15 1.813967e-15 1.353433e-16 8.897157e-16 1.259462e-16 1.174511e-16
122 3.057651e-15 3.568628e-15 1.495549e-15 1.759113e-15 1.310139e-16 8.627317e-16 1.219327e-16 1.137198e-16
123 2.961228e-15 3.467055e-15 1.448392e-15 1.706401e-15 1.268575e-16 8.368026e-16 1.180792e-16 1.101370e-16
124 2.868666e-15 3.369355e-15 1.403098e-15 1.655730e-15 1.228657e-16 8.118783e-16 1.143781e-16 1.066957e-16
125 2.779407e-15 3.275349e-15 1.359578e-15 1.607005e-15 1.190309e-16 7.879120e-16 1.108223e-16 1.033892e-16
126 2.693816e-15 3.184866e-15 1.317750e-15 1.560136e-15 1.153455e-16 7.648589e-16 1.074048e-16 1.002112e-16
127 2.611604e-15 3.097746e-15 1.277534e-15 1.515037e-15 1.118028e-16 7.426772e-16 1.041193e-16 9.715576e-17
128 2.532259e-15 3.013838e-15 1.238857e-15 1.471627e-15 1.083960e-16 7.213271e-16 1.009596e-16 9.421719e-17
129 2.456180e-15 2.932996e-15 1.201648e-15 1.429830e-15 1.051190e-16 7.007708e-16 9.792010e-17 9.139014e-17
130 2.382978e-15 2.855084e-15 1.165841e-15 1.389573e-15 1.019659e-16 6.809725e-16 9.499522e-17 8.866955e-17
131 2.312261e-15 2.779973e-15 1.131372e-15 1.350789e-15 9.893102e-17 6.618986e-16 9.217982e-17 8.605063e-17
132 2.244352e-15 2.707541e-15 1.098182e-15 1.313411e-15 9.600911e-17 6.435172e-16 8.946901e-17 8.352884e-17
133 2.178919e-15 2.637670e-15 1.066213e-15 1.277377e-15 9.319514e-17 6.257973e-16 8.685813e-17 8.109985e-17
134 2.115771e-15 2.570250e-15 1.035412e-15 1.242631e-15 9.048435e-17 6.087107e-16 8.434278e-17 7.875959e-17
135 2.055090e-15 2.505177e-15 1.005728e-15 1.209114e-15 8.787222e-17 5.922298e-16 8.191878e-17 7.650417e-17
136 1.996403e-15 2.442349e-15 9.771128e-16 1.176776e-15 8.535446e-17 5.763283e-16 7.958217e-17 7.432991e-17
137 1.940052e-15 2.381674e-15 9.495198e-16 1.145566e-15 8.292699e-17 5.609817e-16 7.732916e-17 7.223332e-17
138 1.885488e-15 2.323061e-15 9.229055e-16 1.115435e-15 8.058595e-17 5.461682e-16 7.515620e-17 7.021109e-17
139 1.833061e-15 2.266424e-15 8.972283e-16 1.086339e-15 7.832765e-17 5.318665e-16 7.305986e-17 6.826009e-17
140 1.782292e-15 2.211681e-15 8.724487e-16 1.058235e-15 7.614861e-17 5.180552e-16 7.103693e-17 6.637732e-17
141 1.733478e-15 2.158755e-15 8.485292e-16 1.031082e-15 7.404549e-17 5.047124e-16 6.908431e-17 6.455988e-17
142 1.686219e-15 2.107573e-15 8.254341e-16 1.004840e-15 7.201514e-17 4.918187e-16 6.719910e-17 6.280507e-17
143 1.640611e-15 2.058064e-15 8.031292e-16 9.794726e-16 7.005454e-17 4.793557e-16 6.537849e-17 6.111030e-17
144 1.596517e-15 2.010161e-15 7.815822e-16 9.549442e-16 6.816083e-17 4.673058e-16 6.361985e-17 5.947309e-17
145 1.553982e-15 1.963801e-15 7.607623e-16 9.312211e-16 6.633127e-17 4.556521e-16 6.192064e-17 5.789111e-17
146 1.512709e-15 1.918921e-15 7.406400e-16 9.082712e-16 6.456328e-17 4.443787e-16 6.027846e-17 5.636213e-17
147 1.473055e-15 1.875465e-15 7.211874e-16 8.860639e-16 6.285437e-17 4.334709e-16 5.869102e-17 5.488400e-17
