Ls TT TE TB EE EB EB_gmv TEB_gmv
102 2.962197e-15 2.748788e-15 3.077335e-14 1.471667e-15 6.167703e-16 4.346216e-16 3.551620e-16
103 2.852197e-15 2.658487e-15 2.959876e-14 1.420451e-15 5.932410e-16 4.184703e-16 3.420775e-16
104 2.747337e-15 2.572261e-15 2.847975e-14 1.371577e-15 5.708259e-16 4.030737e-16 3.296027e-16
105 2.647331e-15 2.489888e-15 2.741320e-14 1.324916e-15 5.494616e-16 3.883906e-16 3.177036e-16
106 2.551910e-15 2.411158e-15 2.639619e-14 1.280346e-15 5.290897e-16 3.743809e-16 3.063484e-16
107 2.460823e-15 2.335876e-15 2.542599e-14 1.237753e-15 5.096555e-16 3.610075e-16 2.955073e-16
108 2.373833e-15 2.263857e-15 2.450001e-14 1.197032e-15 4.911076e-16 3.482363e-16 2.851522e-16
109 2.290720e-15 2.194931e-15 2.361588e-14 1.158082e-15 4.733978e-16 3.360344e-16 2.752572e-16
110 2.211278e-15 2.128935e-15 2.277133e-14 1.120811e-15 4.564811e-16 3.243718e-16 2.657976e-16
111 2.135311e-15 2.065718e-15 2.196426e-14 1.085130e-15 4.403150e-16 3.132195e-16 2.567505e-16
112 2.062638e-15 2.005138e-15 2.119269e-14 1.050958e-15 4.248601e-16 3.025508e-16 2.480942e-16
113 1.993087e-15 1.947060e-15 2.045476e-14 1.018216e-15 4.100791e-16 2.923411e-16 2.398085e-16
114 1.926498e-15 1.891359e-15 1.974873e-14 9.868325e-16 3.959371e-16 2.825660e-16 2.318744e-16
115 1.862720e-15 1.837916e-15 1.907294e-14 9.567385e-16 3.824011e-16 2.732038e-16 2.242738e-16
116 1.801610e-15 1.786620e-15 1.842587e-14 9.278696e-16 3.694403e-16 2.642333e-16 2.169900e-16
117 1.743034e-15 1.737366e-15 1.780605e-14 9.001654e-16 3.570255e-16 2.556350e-16 2.100070e-16
118 1.686867e-15 1.690054e-15 1.721212e-14 8.735685e-16 3.451294e-16 2.473903e-16 2.033100e-16
119 1.632989e-15 1.644592e-15 1.664279e-14 8.480251e-16 3.337259e-16 2.394819e-16 1.968849e-16
120 1.581289e-15 1.600891e-15 1.609686e-14 8.234844e-16 3.227911e-16 2.318931e-16 1.907183e-16
121 1.531661e-15 1.558868e-15 1.557316e-14 7.998984e-16 3.123019e-16 2.246086e-16 1.847978e-16
122 1.484004e-15 1.518444e-15 1.507063e-14 7.772218e-16 3.022364e-16 2.176135e-16 1.791115e-16
123 1.438226e-15 1.479546e-15 1.458824e-14 7.554122e-16 2.925747e-16 2.108943e-16 1.736483e-16
124 1.394237e-15 1.442102e-15 1.412504e-14 7.344285e-16 2.832972e-16 2.044377e-16 1.683976e-16
125 1.351953e-15 1.406047e-15 1.368011e-14 7.142331e-16 2.743858e-16 1.982315e-16 1.633495e-16
126 1.311294e-15 1.371318e-15 1.325260e-14 6.947895e-16 2.658230e-16 1.922639e-16 1.584945e-16
127 1.272187e-15 1.337856e-15 1.284169e-14 6.760637e-16 2.575930e-16 1.865239e-16 1.538238e-16
128 1.234559e-15 1.305603e-15 1.244661e-14 6.580232e-16 2.496801e-16 1.810011e-16 1.493290e-16
129 1.198343e-15 1.274507e-15 1.206664e-14 6.406373e-16 2.420700e-16 1.756857e-16 1.450020e-16
130 1.163475e-15 1.244518e-15 1.170109e-14 6.238769e-16 2.347485e-16 1.705681e-16 1.408351e-16
131 1.129895e-15 1.215586e-15 1.134930e-14 6.077147e-16 2.277027e-16 1.656397e-16 1.368215e-16
132 1.097547e-15 1.187667e-15 1.101067e-14 5.921240e-16 2.209205e-16 1.608920e-16 1.329542e-16
133 1.066375e-15 1.160717e-15 1.068459e-14 5.770807e-16 2.143898e-16 1.563169e-16 1.292268e-16
134 1.036327e-15 1.134696e-15 1.037052e-14 5.625608e-16 2.080996e-16 1.519069e-16 1.256331e-16
135 1.007356e-15 1.109564e-15 1.006794e-14 5.485420e-16 2.020393e-16 1.476549e-16 1.221675e-16
