Ls TT TE TB EE EB TE_gmv EB_gmv TEB_gmv
84 5.060337e-15 4.876028e-15 9.549180e-15 2.789169e-15 8.769019e-16 1.309571e-15 6.671529e-16 5.251825e-16
85 4.832833e-15 4.671768e-15 9.110072e-15 2.668280e-15 8.364789e-16 1.252788e-15 6.368366e-16 5.015479e-16
86 4.617551e-15 4.478785e-15 8.696072e-15 2.554130e-15 7.983637e-16 1.199127e-15 6.082408e-16 4.792419e-16
87 4.414085e-15 4.296329e-15 8.305376e-15 2.446268e-15 7.623967e-16 1.148396e-15 5.812466e-16 4.581764e-16
88 4.221877e-15 4.123708e-15 7.936456e-15 2.344278e-15 7.284349e-16 1.100407e-15 5.557481e-16 4.382700e-16
89 4.039529e-15 3.960282e-15 7.587925e-15 2.247775e-15 6.963473e-16 1.054989e-15 5.316464e-16 4.194480e-16
90 3.867013e-15 3.805458e-15 7.258424e-15 2.156405e-15 6.660104e-16 1.011974e-15 5.088502e-16 4.016390e-16
91 3.703646e-15 3.658691e-15 6.946650e-15 2.069839e-15 6.373092e-16 9.712239e-16 4.872764e-16 3.847811e-16
92 3.548864e-15 3.519474e-15 6.651525e-15 1.987774e-15 6.101400e-16 9.326166e-16 4.668449e-16 3.688159e-16
93 3.402155e-15 3.387338e-15 6.372041e-15 1.909927e-15 5.844074e-16 8.959772e-16 4.474842e-16 3.536810e-16
94 3.263017e-15 3.261847e-15 6.107159e-15 1.836038e-15 5.600193e-16 8.611890e-16 4.291281e-16 3.393258e-16
95 3.130670e-15 3.142597e-15 5.855926e-15 1.765864e-15 5.368914e-16 8.281470e-16 4.117147e-16 3.257039e-16
96 3.005315e-15 3.029212e-15 5.617542e-15 1.699180e-15 5.149472e-16 7.967450e-16 3.951841e-16 3.127689e-16
97 2.885970e-15 2.921343e-15 5.391290e-15 1.635777e-15 4.941160e-16 7.668866e-16 3.794854e-16 3.004813e-16
98 2.772755e-15 2.818666e-15 5.176311e-15 1.575460e-15 4.743281e-16 7.384802e-16 3.645669e-16 2.888012e-16
99 2.664904e-15 2.720877e-15 4.971992e-15 1.518048e-15 4.555224e-16 7.114417e-16 3.503827e-16 2.776930e-16
100 2.562291e-15 2.627694e-15 4.777741e-15 1.463372e-15 4.376421e-16 6.856912e-16 3.368902e-16 2.671236e-16
101 2.464760e-15 2.538854e-15 4.592938e-15 1.411274e-15 4.206320e-16 6.611555e-16 3.240488e-16 2.570616e-16
102 2.371773e-15 2.454112e-15 4.416982e-15 1.361608e-15 4.044409e-16 6.377652e-16 3.118207e-16 2.474776e-16
103 2.283135e-15 2.373239e-15 4.249473e-15 1.314237e-15 3.890239e-16 6.154560e-16 3.001708e-16 2.383444e-16
104 2.198752e-15 2.296019e-15 4.089860e-15 1.269032e-15 3.743359e-16 5.941676e-16 2.890673e-16 2.296372e-16
105 2.118191e-15 2.222254e-15 3.937672e-15 1.225874e-15 3.603347e-16 5.738435e-16 2.784787e-16 2.213315e-16
106 2.041333e-15 2.151754e-15 3.792572e-15 1.184649e-15 3.469843e-16 5.544325e-16 2.683763e-16 2.134055e-16
107 1.967965e-15 2.084345e-15 3.654125e-15 1.145255e-15 3.342475e-16 5.358798e-16 2.587343e-16 2.058379e-16
108 1.897886e-15 2.019861e-15 3.521917e-15 1.107591e-15 3.220898e-16 5.181527e-16 2.495272e-16 1.986111e-16
109 1.832882e-15 1.958149e-15 3.395719e-15 1.071566e-15 3.104819e-16 5.011734e-16 2.407312e-16 1.917016e-16
110 1.770843e-15 1.899063e-15 3.275120e-15 1.037094e-15 2.993926e-16 4.850206e-16 2.323243e-16 1.851098e-16
111 1.710770e-15 1.842468e-15 3.159869e-15 1.004093e-15 2.887953e-16 4.697542e-16 2.242864e-16 1.788338e-16
112 1.652909e-15 1.788236e-15 3.049689e-15 9.724874e-16 2.786641e-16 4.549713e-16 2.165982e-16 1.728055e-16
113 1.597421e-15 1.736247e-15 2.944253e-15 9.422052e-16 2.689733e-16 4.407895e-16 2.092412e-16 1.670323e-16
114 1.544176e-15 1.686387e-15 2.843359e-15 9.131792e-16 2.597009e-16 4.271804e-16 2.021975e-16 1.615012e-16
115 1.493120e-15 1.638551e-15 2.746805e-15 8.853462e-16 2.508263e-16 4.141168e-16 1.954524e-16 1.562009e-16
116 1.444002e-15 1.592639e-15 2.654295e-15 8.586466e-16 2.423273e-16 4.015802e-16 1.889906e-16 1.511207e-16
117 1.397099e-15 1.548556e-15 2.565673e-15 8.330242e-16 2.341863e-16 3.895430e-16 1.827971e-16 1.462492e-16
118 1.351920e-15 1.506213e-15 2.480746e-15 8.084263e-16 2.263850e-16 3.779836e-16 1.768588e-16 1.415765e-16
119 1.308588e-15 1.465528e-15 2.399296e-15 7.848029e-16 2.189062e-16 3.668794e-16 1.711633e-16 1.370929e-16
120 1.267004e-15 1.426420e-15 2.321195e-15 7.621069e-16 2.117346e-16 3.562070e-16 1.656987e-16 1.327892e-16
121 1.227061e-15 1.388815e-15 2.246242e-15 7.402941e-16 2.048547e-16 3.459539e-16 1.604538e-16 1.286577e-16
122 1.188703e-15 1.352643e-15 2.174313e-15 7.193226e-16 1.982526e-16 3.360987e-16 1.554180e-16 1.246900e-16
123 1.151854e-15 1.317837e-15 2.105251e-15 6.991529e-16 1.919149e-16 3.266170e-16 1.505809e-16 1.208772e-16
124 1.116456e-15 1.284335e-15 2.038908e-15 6.797474e-16 1.858287e-16 3.174914e-16 1.459335e-16 1.172122e-16
125 1.082290e-15 1.252076e-15 1.975177e-15 6.610708e-16 1.799826e-16 3.087074e-16 1.414668e-16 1.136884e-16
126 1.049559e-15 1.221004e-15 1.913925e-15 6.430898e-16 1.743650e-16 3.002496e-16 1.371725e-16 1.102993e-16
127 1.018075e-15 1.191067e-15 1.855021e-15 6.257727e-16 1.689650e-16 2.921033e-16 1.330425e-16 1.070387e-16
128 9.876724e-16 1.162213e-15 1.798408e-15 6.090894e-16 1.637736e-16 2.842549e-16 1.290691e-16 1.039006e-16
129 9.585085e-16 1.134395e-15 1.743898e-15 5.930117e-16 1.587795e-16 2.766911e-16 1.252452e-16 1.008796e-16
130 9.304090e-16 1.107568e-15 1.691476e-15 5.775127e-16 1.539753e-16 2.693992e-16 1.215641e-16 9.797033e-17
131 9.033017e-16 1.081687e-15 1.641009e-15 5.625667e-16 1.493518e-16 2.623672e-16 1.180195e-16 9.516794e-17
132 8.772211e-16 1.056713e-15 1.592392e-15 5.481498e-16 1.449003e-16 2.555845e-16 1.146052e-16 9.246772e-17
133 8.520829e-16 1.032607e-15 1.545606e-15 5.342388e-16 1.406147e-16 2.490399e-16 1.113156e-16 8.986512e-17
134 8.278599e-16 1.009333e-15 1.500488e-15 5.208122e-16 1.364858e-16 2.427207e-16 1.081452e-16 8.735568e-17
135 8.045519e-16 9.868537e-16 1.457048e-15 5.078491e-16 1.325085e-16 2.366265e-16 1.050886e-16 8.493634e-17
136 7.833332e-16 9.651377e-16 1.415146e-15 4.953299e-16 1.286748e-16 2.307373e-16 1.021409e-16 8.260187e-17
137 7.622085e-16 9.441530e-16 1.374755e-15 4.832360e-16 1.249792e-16 2.250329e-16 9.929775e-17 8.034747e-17
138 7.417345e-16 9.238696e-16 1.335789e-15 4.715495e-16 1.214155e-16 2.196240e-16 9.655456e-17 7.818457e-17
139 7.218042e-16 9.042588e-16 1.298201e-15 4.602537e-16 1.179783e-16 2.144432e-16 9.390694e-17 7.610220e-17
140 7.025006e-16 8.852937e-16 1.261929e-15 4.493325e-16 1.146622e-16 2.093511e-16 9.135097e-17 7.408057e-17
141 6.837496e-16 8.669479e-16 1.226910e-15 4.387704e-16 1.114619e-16 2.044140e-16 8.888291e-17 7.212611e-17
142 6.656596e-16 8.491973e-16 1.193121e-15 4.285531e-16 1.083731e-16 1.996416e-16 8.649901e-17 7.023801e-17
143 6.481681e-16 8.320179e-16 1.160459e-15 4.186665e-16 1.053902e-16 1.950138e-16 8.419577e-17 6.841185e-17
144 6.311723e-16 8.153875e-16 1.128945e-15 4.090975e-16 1.025103e-16 1.905312e-16 8.197024e-17 6.664614e-17
145 6.148267e-16 7.992849e-16 1.098457e-15 3.998335e-16 9.972745e-17 1.861893e-16 7.981901e-17 6.493844e-17
146 5.989231e-16 7.836896e-16 1.069026e-15 3.908626e-16 9.703935e-17 1.819822e-16 7.773898e-17 6.328631e-17
147 5.835671e-16 7.685821e-16 1.040558e-15 3.821731e-16 9.444105e-17 1.779055e-16 7.572757e-17 6.168783e-17
148 5.686747e-16 7.539439e-16 1.013038e-15 3.737543e-16 9.192946e-17 1.739546e-16 7.378198e-17 6.014088e-17
149 5.542771e-16 7.397572e-16 9.864223e-16 3.655956e-16 8.950103e-17 1.701244e-16 7.189948e-17 5.864335e-17
150 5.403357e-16 7.260051e-16 9.606772e-16 3.576871e-16 8.715246e-17 1.664101e-16 7.007763e-17 5.719330e-17
151 5.268252e-16 7.126714e-16 9.357713e-16 3.500192e-16 8.488070e-17 1.628099e-16 6.831420e-17 5.578927e-17
152 5.137505e-16 6.997408e-16 9.116647e-16 3.425830e-16 8.268259e-17 1.593199e-16 6.660694e-17 5.442959e-17
153 5.010843e-16 6.871984e-16 8.883397e-16 3.353697e-16 8.055557e-17 1.559329e-16 6.495362e-17 5.311212e-17
154 4.888041e-16 6.750302e-16 8.657425e-16 3.283710e-16 7.849637e-17 1.526452e-16 6.335220e-17 5.183531e-17
155 4.769141e-16 6.632225e-16 8.438753e-16 3.215790e-16 7.650306e-17 1.494543e-16 6.180075e-17 5.059777e-17
156 4.653291e-16 6.517625e-16 8.226866e-16 3.149861e-16 7.457261e-17 1.463565e-16 6.029734e-17 4.939801e-17
157 4.541559e-16 6.406376e-16 8.021682e-16 3.085849e-16 7.270302e-17 1.433484e-16 5.884018e-17 4.823460e-17
158 4.433125e-16 6.298361e-16 7.822775e-16 3.023685e-16 7.089161e-17 1.404268e-16 5.742756e-17 4.710625e-17
159 4.328013e-16 6.193467e-16 7.630170e-16 2.963303e-16 6.913682e-17 1.375887e-16 5.605787e-17 4.601169e-17
160 4.225728e-16 6.091583e-16 7.443329e-16 2.904639e-16 6.743582e-17 1.348312e-16 5.472952e-17 4.494968e-17
161 4.126095e-16 5.992606e-16 7.262297e-16 2.847631e-16 6.578725e-17 1.321512e-16 5.344099e-17 4.391903e-17
162 4.036187e-16 5.896436e-16 7.086651e-16 2.792222e-16 6.418864e-17 1.295469e-16 5.219087e-17 4.291871e-17
163 3.947467e-16 5.802977e-16 6.916422e-16 2.738354e-16 6.263879e-17 1.270159e-16 5.097779e-17 4.194769e-17
164 3.859835e-16 5.712136e-16 6.751209e-16 2.685974e-16 6.113538e-17 1.245554e-16 4.980038e-17 4.100488e-17
165 3.773899e-16 5.623825e-16 6.590938e-16 2.635031e-16 5.967703e-17 1.221820e-16 4.865738e-17 4.009130e-17
