Ls TT TE TB EE EB EB_gmv TEB_gmv
113 4.465198e-15 6.541145e-15 9.384775e-15 4.749862e-15 8.933998e-16 7.519634e-16 6.099494e-16
114 4.312907e-15 6.337909e-15 9.065872e-15 4.598254e-15 8.628743e-16 7.265374e-16 5.893887e-16
115 4.167105e-15 6.143059e-15 8.760536e-15 4.452951e-15 8.336512e-16 7.021917e-16 5.697004e-16
116 4.027461e-15 5.956175e-15 8.468081e-15 4.313639e-15 8.056646e-16 6.788709e-16 5.508399e-16
117 3.893667e-15 5.776860e-15 8.187857e-15 4.180017e-15 7.788518e-16 6.565234e-16 5.327657e-16
118 3.765428e-15 5.604743e-15 7.919253e-15 4.051806e-15 7.531541e-16 6.351010e-16 5.154386e-16
119 3.642470e-15 5.439473e-15 7.661694e-15 3.928740e-15 7.285161e-16 6.145574e-16 4.988215e-16
120 3.524533e-15 5.280721e-15 7.414637e-15 3.810569e-15 7.048860e-16 5.948495e-16 4.828796e-16
121 3.411373e-15 5.128172e-15 7.177569e-15 3.697060e-15 6.822140e-16 5.759371e-16 4.675800e-16
122 3.302755e-15 4.981534e-15 6.950008e-15 3.587985e-15 6.604543e-16 5.577814e-16 4.528920e-16
123 3.198467e-15 4.840527e-15 6.731498e-15 3.483139e-15 6.395627e-16 5.403461e-16 4.387859e-16
124 3.098299e-15 4.704889e-15 6.521608e-15 3.382322e-15 6.194978e-16 5.235972e-16 4.252343e-16
125 3.002057e-15 4.574372e-15 6.319931e-15 3.285346e-15 6.002208e-16 5.075021e-16 4.122110e-16
126 2.909556e-15 4.448738e-15 6.126086e-15 3.192035e-15 5.816946e-16 4.920304e-16 3.996914e-16
127 2.820625e-15 4.327766e-15 5.939705e-15 3.102217e-15 5.638843e-16 4.771532e-16 3.876520e-16
128 2.735098e-15 4.211247e-15 5.760446e-15 3.015739e-15 5.467568e-16 4.628429e-16 3.760710e-16
129 2.652818e-15 4.098979e-15 5.587985e-15 2.932447e-15 5.302809e-16 4.490739e-16 3.649273e-16
