Ls TT TE TB EE EB EB_gmv TEB_gmv
134 1.154610e-15 1.553852e-15 1.400098e-14 1.146586e-15 1.336364e-15 6.171113e-16 3.454524e-16
135 1.122368e-15 1.519873e-15 1.359595e-14 1.119782e-15 1.297492e-15 6.010525e-16 3.365037e-16
136 1.091271e-15 1.487049e-15 1.320557e-14 1.093890e-15 1.260030e-15 5.855485e-16 3.278643e-16
137 1.061270e-15 1.455330e-15 1.282920e-14 1.068871e-15 1.223918e-15 5.705758e-16 3.195210e-16
138 1.032319e-15 1.424673e-15 1.246625e-14 1.044690e-15 1.189095e-15 5.561123e-16 3.114611e-16
139 1.004373e-15 1.395034e-15 1.211614e-14 1.021311e-15 1.155508e-15 5.421367e-16 3.036734e-16
140 9.773897e-16 1.366371e-15 1.177833e-14 9.987036e-16 1.123105e-15 5.286288e-16 2.961462e-16
141 9.513299e-16 1.338649e-15 1.145231e-14 9.768349e-16 1.091836e-15 5.155694e-16 2.888689e-16
142 9.261552e-16 1.311826e-15 1.113757e-14 9.556757e-16 1.061653e-15 5.029404e-16 2.818314e-16
143 9.018292e-16 1.285868e-15 1.083368e-14 9.351976e-16 1.032512e-15 4.907241e-16 2.750241e-16
144 8.783174e-16 1.260744e-15 1.054015e-14 9.153738e-16 1.004368e-15 4.789041e-16 2.684376e-16
145 8.555870e-16 1.236419e-15 1.025659e-14 8.961784e-16 9.771831e-16 4.674646e-16 2.620632e-16
146 8.336066e-16 1.212862e-15 9.982573e-15 8.775870e-16 9.509163e-16 4.563907e-16 2.558924e-16
147 8.123462e-16 1.190045e-15 9.717732e-15 8.595759e-16 9.255317e-16 4.456677e-16 2.499174e-16
148 7.917775e-16 1.167941e-15 9.461700e-15 8.421235e-16 9.009932e-16 4.352821e-16 2.441303e-16
149 7.718732e-16 1.146521e-15 9.214112e-15 8.252077e-16 8.772670e-16 4.252208e-16 2.385241e-16
150 7.526073e-16 1.125762e-15 8.974649e-15 8.088091e-16 8.543218e-16 4.154713e-16 2.330916e-16
151 7.339552e-16 1.105637e-15 8.742985e-15 7.929067e-16 8.321269e-16 4.060217e-16 2.278264e-16
152 7.158931e-16 1.086124e-15 8.518824e-15 7.774830e-16 8.106523e-16 3.968607e-16 2.227220e-16
153 6.983986e-16 1.067201e-15 8.301868e-15 7.625202e-16 7.898700e-16 3.879772e-16 2.177724e-16
154 6.814500e-16 1.048847e-15 8.091846e-15 7.480014e-16 7.697542e-16 3.793610e-16 2.129718e-16
155 6.650267e-16 1.031040e-15 7.888488e-15 7.339098e-16 7.502792e-16 3.710021e-16 2.083145e-16
156 6.491091e-16 1.013762e-15 7.691546e-15 7.202299e-16 7.314199e-16 3.628910e-16 2.037955e-16
157 6.336782e-16 9.969939e-16 7.500772e-15 7.069476e-16 7.131539e-16 3.550186e-16 1.994096e-16
158 6.187161e-16 9.807175e-16 7.315948e-15 6.940473e-16 6.954581e-16 3.473761e-16 1.951519e-16
159 6.042056e-16 9.649164e-16 7.136838e-15 6.815169e-16 6.783119e-16 3.399554e-16 1.910178e-16
160 5.901300e-16 9.495740e-16 6.963239e-15 6.693420e-16 6.616949e-16 3.327483e-16 1.870029e-16
161 5.764736e-16 9.346737e-16 6.794940e-15 6.575109e-16 6.455876e-16 3.257472e-16 1.831028e-16
162 5.632213e-16 9.202019e-16 6.631759e-15 6.460109e-16 6.299707e-16 3.189450e-16 1.793135e-16
163 5.503586e-16 9.061427e-16 6.473506e-15 6.348306e-16 6.148270e-16 3.123344e-16 1.756312e-16
164 5.378716e-16 8.924836e-16 6.320001e-15 6.239597e-16 6.001387e-16 3.059088e-16 1.720520e-16
165 5.257470e-16 8.792103e-16 6.171069e-15 6.133870e-16 5.858905e-16 2.996618e-16 1.685724e-16
166 5.139720e-16 8.663107e-16 6.026562e-15 6.031024e-16 5.720656e-16 2.935870e-16 1.651889e-16
167 5.025344e-16 8.537721e-16 5.886307e-15 5.930956e-16 5.586496e-16 2.876788e-16 1.618983e-16
168 4.914225e-16 8.415829e-16 5.750165e-15 5.833580e-16 5.456279e-16 2.819313e-16 1.586972e-16
169 4.806250e-16 8.297317e-16 5.617986e-15 5.738806e-16 5.329867e-16 2.763391e-16 1.555828e-16
170 4.701311e-16 8.182076e-16 5.489637e-15 5.646542e-16 5.207122e-16 2.708969e-16 1.525521e-16
171 4.599304e-16 8.070003e-16 5.364981e-15 5.556706e-16 5.087926e-16 2.655997e-16 1.496021e-16
172 4.500131e-16 7.961001e-16 5.243889e-15 5.469219e-16 4.972147e-16 2.604426e-16 1.467304e-16
173 4.403695e-16 7.854967e-16 5.126249e-15 5.384005e-16 4.859677e-16 2.554211e-16 1.439342e-16
174 4.309904e-16 7.751817e-16 5.011934e-15 5.300991e-16 4.750395e-16 2.505307e-16 1.412111e-16
175 4.218671e-16 7.651451e-16 4.900836e-15 5.220101e-16 4.644200e-16 2.457670e-16 1.385587e-16
176 4.129910e-16 7.553794e-16 4.792846e-15 5.141269e-16 4.540981e-16 2.411259e-16 1.359747e-16
177 4.043541e-16 7.458752e-16 4.687860e-15 5.064432e-16 4.440644e-16 2.366034e-16 1.334568e-16
178 3.959484e-16 7.366257e-16 4.585774e-15 4.989521e-16 4.343087e-16 2.321958e-16 1.310030e-16
179 3.877664e-16 7.276226e-16 4.486500e-15 4.916479e-16 4.248224e-16 2.278994e-16 1.286112e-16
180 3.798009e-16 7.188584e-16 4.389941e-15 4.845245e-16 4.155963e-16 2.237106e-16 1.262794e-16
181 3.720450e-16 7.103266e-16 4.296011e-15 4.775765e-16 4.066219e-16 2.196261e-16 1.240057e-16
182 3.644918e-16 7.020197e-16 4.204618e-15 4.707979e-16 3.978909e-16 2.156425e-16 1.217883e-16
183 3.571350e-16 6.939314e-16 4.115686e-15 4.641840e-16 3.893954e-16 2.117567e-16 1.196254e-16
184 3.499682e-16 6.860554e-16 4.029133e-15 4.577296e-16 3.811281e-16 2.079656e-16 1.175153e-16
185 3.429859e-16 6.783858e-16 3.944885e-15 4.514293e-16 3.730815e-16 2.042664e-16 1.154564e-16
186 3.361815e-16 6.709159e-16 3.862866e-15 4.452789e-16 3.652483e-16 2.006562e-16 1.134472e-16
187 3.295504e-16 6.636407e-16 3.783009e-15 4.392738e-16 3.576220e-16 1.971323e-16 1.114860e-16
188 3.230866e-16 6.565542e-16 3.705243e-15 4.334092e-16 3.501958e-16 1.936921e-16 1.095715e-16
189 3.167850e-16 6.496513e-16 3.629502e-15 4.276811e-16 3.429639e-16 1.903330e-16 1.077022e-16
190 3.106406e-16 6.429272e-16 3.555728e-15 4.220855e-16 3.359201e-16 1.870526e-16 1.058767e-16
191 3.046492e-16 6.363764e-16 3.483853e-15 4.166183e-16 3.290580e-16 1.838487e-16 1.040938e-16
192 2.988053e-16 6.299940e-16 3.413821e-15 4.112756e-16 3.223725e-16 1.807187e-16 1.023522e-16
193 2.931049e-16 6.237759e-16 3.345577e-15 4.060538e-16 3.158580e-16 1.776607e-16 1.006507e-16
194 2.875438e-16 6.177177e-16 3.279065e-15 4.009493e-16 3.095095e-16 1.746725e-16 9.898798e-17
195 2.821179e-16 6.118144e-16 3.214232e-15 3.959586e-16 3.033218e-16 1.717521e-16 9.736304e-17
196 2.768228e-16 6.060620e-16 3.151028e-15 3.910784e-16 2.972896e-16 1.688974e-16 9.577472e-17
197 2.716547e-16 6.004566e-16 3.089405e-15 3.863052e-16 2.914091e-16 1.661066e-16 9.422199e-17
198 2.666100e-16 5.949944e-16 3.029312e-15 3.816365e-16 2.856747e-16 1.633779e-16 9.270377e-17
199 2.616853e-16 5.896715e-16 2.970708e-15 3.770688e-16 2.800828e-16 1.607095e-16 9.121915e-17
200 2.568770e-16 5.844840e-16 2.913547e-15 3.725990e-16 2.746290e-16 1.580996e-16 8.976710e-17
201 2.521814e-16 5.794285e-16 2.857787e-15 3.682246e-16 2.693093e-16 1.555467e-16 8.834672e-17
202 2.475956e-16 5.745017e-16 2.803384e-15 3.639425e-16 2.641194e-16 1.530490e-16 8.695709e-17
203 2.431165e-16 5.696997e-16 2.750302e-15 3.597504e-16 2.590557e-16 1.506052e-16 8.559741e-17
204 2.387408e-16 5.650199e-16 2.698499e-15 3.556458e-16 2.541145e-16 1.482136e-16 8.426678e-17
205 2.344659e-16 5.604587e-16 2.647942e-15 3.516257e-16 2.492925e-16 1.458729e-16 8.296440e-17
206 2.302887e-16 5.560132e-16 2.598591e-15 3.476881e-16 2.445860e-16 1.435816e-16 8.168950e-17
207 2.262066e-16 5.516804e-16 2.550415e-15 3.438304e-16 2.399917e-16 1.413383e-16 8.044133e-17
208 2.222168e-16 5.474576e-16 2.503377e-15 3.400503e-16 2.355065e-16 1.391419e-16 7.921913e-17
209 2.183169e-16 5.433416e-16 2.457450e-15 3.363459e-16 2.311270e-16 1.369909e-16 7.802220e-17
210 2.145045e-16 5.393300e-16 2.412598e-15 3.327147e-16 2.268507e-16 1.348843e-16 7.684987e-17
211 2.107768e-16 5.354198e-16 2.368790e-15 3.291547e-16 2.226744e-16 1.328207e-16 7.570147e-17
212 2.071317e-16 5.316089e-16 2.326001e-15 3.256642e-16 2.185953e-16 1.307991e-16 7.457633e-17
213 2.035671e-16 5.278943e-16 2.284199e-15 3.222406e-16 2.146105e-16 1.288183e-16 7.347386e-17
214 2.000809e-16 5.242740e-16 2.243358e-15 3.188828e-16 2.107178e-16 1.268773e-16 7.239343e-17
215 1.966706e-16 5.207453e-16 2.203452e-15 3.155882e-16 2.069146e-16 1.249750e-16 7.133448e-17
216 1.933344e-16 5.173057e-16 2.164453e-15 3.123553e-16 2.031981e-16 1.231104e-16 7.029642e-17
217 1.900702e-16 5.139536e-16 2.126341e-15 3.091825e-16 1.995662e-16 1.212826e-16 6.927871e-17
218 1.868764e-16 5.106860e-16 2.089086e-15 3.060679e-16 1.960163e-16 1.194905e-16 6.828082e-17
219 1.837509e-16 5.075013e-16 2.052668e-15 3.030099e-16 1.925466e-16 1.177333e-16 6.730224e-17
220 1.806919e-16 5.043971e-16 2.017062e-15 3.000068e-16 1.891546e-16 1.160101e-16 6.634245e-17
221 1.776976e-16 5.013715e-16 1.982250e-15 2.970572e-16 1.858385e-16 1.143201e-16 6.540098e-17
222 1.747664e-16 4.984224e-16 1.948207e-15 2.941596e-16 1.825959e-16 1.126622e-16 6.447736e-17
223 1.718967e-16 4.955477e-16 1.914914e-15 2.913125e-16 1.794251e-16 1.110359e-16 6.357113e-17
224 1.690871e-16 4.927458e-16 1.882352e-15 2.885144e-16 1.763242e-16 1.094403e-16 6.268185e-17
225 1.663356e-16 4.900144e-16 1.850501e-15 2.857637e-16 1.732912e-16 1.078746e-16 6.180910e-17
226 1.636411e-16 4.873518e-16 1.819341e-15 2.830595e-16 1.703244e-16 1.063380e-16 6.095244e-17
227 1.610019e-16 4.847563e-16 1.788855e-15 2.804002e-16 1.674221e-16 1.048299e-16 6.011150e-17
228 1.584169e-16 4.822260e-16 1.759025e-15 2.777844e-16 1.645826e-16 1.033497e-16 5.928586e-17
229 1.558844e-16 4.797590e-16 1.729835e-15 2.752110e-16 1.618041e-16 1.018965e-16 5.847515e-17
230 1.534033e-16 4.773538e-16 1.701266e-15 2.726788e-16 1.590853e-16 1.004697e-16 5.767900e-17
231 1.509723e-16 4.750086e-16 1.673306e-15 2.701868e-16 1.564246e-16 9.906874e-17 5.689706e-17
232 1.485901e-16 4.727217e-16 1.645935e-15 2.677333e-16 1.538204e-16 9.769298e-17 5.612897e-17
233 1.462554e-16 4.704914e-16 1.619140e-15 2.653177e-16 1.512712e-16 9.634180e-17 5.537441e-17
234 1.439672e-16 4.683162e-16 1.592907e-15 2.629386e-16 1.487758e-16 9.501464e-17 5.463304e-17
235 1.417244e-16 4.661943e-16 1.567220e-15 2.605950e-16 1.463327e-16 9.371091e-17 5.390455e-17
