Ls T E B
163 6.674551e-17 5.337134e-18 5.107917e-18
164 6.367417e-17 5.302779e-18 5.073549e-18
165 6.074417e-17 5.268815e-18 5.039585e-18
166 5.794894e-17 5.235240e-18 5.006038e-18
167 5.528226e-17 5.202057e-18 4.972867e-18
168 5.273836e-17 5.169250e-18 4.940101e-18
169 5.031157e-17 5.136807e-18 4.907712e-18
170 4.799639e-17 5.104727e-18 4.875699e-18
171 4.578782e-17 5.073024e-18 4.844063e-18
172 4.368076e-17 5.041658e-18 4.812778e-18
173 4.167076e-17 5.010655e-18 4.781869e-18
174 3.975324e-17 4.979989e-18 4.751311e-18
175 3.792390e-17 4.949659e-18 4.721089e-18
176 3.617883e-17 4.919666e-18 4.691230e-18
177 3.451399e-17 4.889996e-18 4.661695e-18
178 3.292575e-17 4.860649e-18 4.632496e-18
179 3.141074e-17 4.831625e-18 4.603633e-18
180 2.996533e-17 4.802924e-18 4.575080e-18
181 2.858643e-17 4.774519e-18 4.546864e-18
182 2.727093e-17 4.746424e-18 4.518944e-18
183 2.601601e-17 4.718625e-18 4.491347e-18
184 2.481884e-17 4.691122e-18 4.464046e-18
185 2.367686e-17 4.663916e-18 4.437055e-18
186 2.258725e-17 4.636992e-18 4.410347e-18
187 2.154785e-17 4.610351e-18 4.383934e-18
188 2.055638e-17 4.583979e-18 4.357805e-18
189 1.961041e-17 4.557890e-18 4.331971e-18
190 1.870806e-17 4.532070e-18 4.306407e-18
191 1.784717e-17 4.506519e-18 4.281112e-18
192 1.702585e-17 4.481237e-18 4.256086e-18
193 1.624237e-17 4.456198e-18 4.231330e-18
194 1.549496e-17 4.431428e-18 4.206843e-18
195 1.478202e-17 4.406900e-18 4.182611e-18
196 1.410179e-17 4.382629e-18 4.158635e-18
197 1.345285e-17 4.358586e-18 4.134902e-18
198 1.283379e-17 4.334798e-18 4.111424e-18
199 1.273454e-17 4.311240e-18 4.088189e-18
200 1.314311e-17 4.287924e-18 4.065183e-18
201 1.356479e-17 4.264823e-18 4.042418e-18
202 1.400001e-17 4.241965e-18 4.019897e-18
203 1.444924e-17 4.219322e-18 3.997590e-18
204 1.491273e-17 4.196908e-18 3.975526e-18
205 1.539130e-17 4.174695e-18 3.953677e-18
206 1.588509e-17 4.152712e-18 3.932044e-18
207 1.639476e-17 4.130944e-18 3.910626e-18
208 1.692072e-17 4.109378e-18 3.889437e-18
209 1.746364e-17 4.088014e-18 3.868450e-18
210 1.802392e-17 4.066852e-18 3.847665e-18
211 1.860225e-17 4.045892e-18 3.827095e-18
212 1.919901e-17 4.025133e-18 3.806713e-18
213 1.981503e-17 4.004577e-18 3.786547e-18
214 2.045071e-17 3.984196e-18 3.766570e-18
215 2.110684e-17 3.964016e-18 3.746781e-18
216 2.178411e-17 3.944025e-18 3.727194e-18
217 2.248305e-17 3.924209e-18 3.707782e-18
218 2.320434e-17 3.904582e-18 3.688571e-18
219 2.394879e-17 3.885129e-18 3.669536e-18
220 2.471720e-17 3.865865e-18 3.650676e-18
221 2.551024e-17 3.846763e-18 3.632004e-18
222 2.632873e-17 3.827849e-18 3.613508e-18
223 2.717346e-17 3.809083e-18 3.595172e-18
224 2.804526e-17 3.790505e-18 3.577026e-18
225 2.894505e-17 3.772089e-18 3.559041e-18
226 2.987379e-17 3.753835e-18 3.541217e-18
227 3.083228e-17 3.735742e-18 3.523568e-18
228 3.182147e-17 3.717797e-18 3.506068e-18
229 3.284242e-17 3.700027e-18 3.488742e-18
230 3.389609e-17 3.682406e-18 3.471565e-18
231 3.498368e-17 3.664946e-18 3.454549e-18
232 3.610613e-17 3.647620e-18 3.437681e-18
233 3.726453e-17 3.630456e-18 3.420975e-18
234 3.846009e-17 3.613440e-18 3.404417e-18
235 3.969414e-17 3.596572e-18 3.388007e-18
236 4.096764e-17 3.579839e-18 3.371745e-18
237 4.228207e-17 3.563268e-18 3.355617e-18
238 4.363863e-17 3.546817e-18 3.339638e-18
239 4.290966e-17 3.530515e-18 3.323807e-18
